LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:05:52,0                 
Time,Ampl
-0.025000669,-0.00274447
-0.024999669,-0.00281971
-0.024998669,-0.00288976
-0.024997669,-0.00295592
-0.024996669,-0.0030143
-0.024995669,-0.00306748
-0.024994669,-0.00311159
-0.024993669,-0.00314662
-0.024992669,-0.00317256
-0.024991669,-0.00318813
-0.024990669,-0.00319202
-0.024989669,-0.00318813
-0.024988669,-0.00317256
-0.024987669,-0.00314791
-0.024986669,-0.00311419
-0.024985669,-0.00307138
-0.024984669,-0.00302338
-0.024983669,-0.0029676
-0.024982669,-0.00290663
-0.024981669,-0.00284306
-0.024980669,-0.00277561
-0.024979669,-0.00270815
-0.024978669,-0.0026394
-0.024977669,-0.00257064
-0.024976669,-0.00250578
-0.024975669,-0.00244221
-0.024974669,-0.00238254
-0.024973669,-0.00232676
-0.024972669,-0.00227617
-0.024971669,-0.00223076
-0.024970669,-0.00219055
-0.024969669,-0.00215682
-0.024968669,-0.00212699
-0.024967669,-0.00210104
-0.024966669,-0.00207899
-0.024965669,-0.00206212
-0.024964669,-0.00204785
-0.024963669,-0.00203618
-0.024962669,-0.0020271
-0.024961669,-0.00201931
-0.024960669,-0.00201413
-0.024959669,-0.00201023
-0.024958669,-0.00200894
-0.024957669,-0.00200764
-0.024956669,-0.00200634
-0.024955669,-0.00200634
-0.024954669,-0.00200764
-0.024953669,-0.00200894
-0.024952669,-0.00201023
-0.024951669,-0.00201283
-0.024950669,-0.00201542
-0.024949669,-0.00201672
-0.024948669,-0.00202061
-0.024947669,-0.0020258
-0.024946669,-0.00203099
-0.024945669,-0.00203618
-0.024944669,-0.00204137
-0.024943669,-0.00204915
-0.024942669,-0.00205564
-0.024941669,-0.00206212
-0.024940669,-0.00206861
-0.024939669,-0.0020738
-0.024938669,-0.00208028
-0.024937669,-0.00208677
-0.024936669,-0.00209326
-0.024935669,-0.00209845
-0.024934669,-0.00210364
-0.024933669,-0.00210882
-0.024932669,-0.00211531
-0.024931669,-0.00212309
-0.024930669,-0.00213347
-0.024929669,-0.00214774
-0.024928669,-0.0021659
-0.024927669,-0.00218925
-0.024926669,-0.00222039
-0.024925669,-0.0022606
-0.024924669,-0.00231119
-0.024923669,-0.00237216
-0.024922669,-0.00244611
-0.024921669,-0.00253302
-0.024920669,-0.0026355
-0.024919669,-0.00275355
-0.024918669,-0.00288717
-0.024917669,-0.00303635
-0.024916669,-0.0032011
-0.024915669,-0.00338012
-0.024914669,-0.00357471
-0.024913669,-0.00377837
-0.024912669,-0.00399242
-0.024911669,-0.00421165
-0.024910669,-0.00443478
-0.024909669,-0.0046566
-0.024908669,-0.00487584
-0.024907669,-0.00508729
-0.024906669,-0.00528577
-0.024905669,-0.00546997
-0.024904669,-0.00563602
-0.024903669,-0.00578131
-0.024902669,-0.00590195
-0.024901669,-0.00599665
-0.024900669,-0.00606281
-0.024899669,-0.00610043
-0.024898669,-0.00610822
-0.024897669,-0.00608616
-0.024896669,-0.00603427
-0.024895669,-0.00595384
-0.024894669,-0.00584617
-0.024893669,-0.00571385
-0.024892669,-0.00556208
-0.024891669,-0.00539084
-0.024890669,-0.00520404
-0.024889669,-0.00500686
-0.024888669,-0.0048006
-0.024887669,-0.00459174
-0.024886669,-0.00438029
-0.024885669,-0.00417144
-0.024884669,-0.00396647
-0.024883669,-0.00376929
-0.024882669,-0.00358249
-0.024881669,-0.00340866
-0.024880669,-0.0032491
-0.024879669,-0.0031077
-0.024878669,-0.00298316
-0.024877669,-0.00287938
-0.024876669,-0.00279636
-0.024875669,-0.00273409
-0.024874669,-0.00269258
-0.024873669,-0.00267183
-0.024872669,-0.00267183
-0.024871669,-0.00268999
-0.024870669,-0.00272891
-0.024869669,-0.00278598
-0.024868669,-0.00285863
-0.024867669,-0.00294684
-0.024866669,-0.00304932
-0.024865669,-0.00316478
-0.024864669,-0.00328931
-0.024863669,-0.00342293
-0.024862669,-0.00356173
-0.024861669,-0.00370443
-0.024860669,-0.00384713
-0.024859669,-0.00398853
-0.024858669,-0.00412603
-0.024857669,-0.00425576
-0.024856669,-0.0043751
-0.024855669,-0.00448407
-0.024854669,-0.00458007
-0.024853669,-0.0046605
-0.024852669,-0.00472536
-0.024851669,-0.00477076
-0.024850669,-0.004798
-0.024849669,-0.00480708
-0.024848669,-0.00479671
-0.024847669,-0.00476817
-0.024846669,-0.00472017
-0.024845669,-0.0046566
-0.024844669,-0.00457747
-0.024843669,-0.00448537
-0.024842669,-0.00438159
-0.024841669,-0.00427132
-0.024840669,-0.00415587
-0.024839669,-0.00403652
-0.024838669,-0.00391718
-0.024837669,-0.00379913
-0.024836669,-0.00368627
-0.024835669,-0.0035786
-0.024834669,-0.00347871
-0.024833669,-0.0033879
-0.024832669,-0.00330747
-0.024831669,-0.00323872
-0.024830669,-0.00318294
-0.024829669,-0.00313754
-0.024828669,-0.0031051
-0.024827669,-0.00308305
-0.024826669,-0.00307267
-0.024825669,-0.00307138
-0.024824669,-0.00307657
-0.024823669,-0.00308954
-0.024822669,-0.0031064
-0.024821669,-0.00312716
-0.024820669,-0.00315051
-0.024819669,-0.00317256
-0.024818669,-0.00319461
-0.024817669,-0.00321407
-0.024816669,-0.00323094
-0.024815669,-0.00324391
-0.024814669,-0.00325299
-0.024813669,-0.00325558
-0.024812669,-0.00325299
-0.024811669,-0.00324391
-0.024810669,-0.00322964
-0.024809669,-0.00320759
-0.024808669,-0.00317905
-0.024807669,-0.00314532
-0.024806669,-0.0031051
-0.024805669,-0.0030597
-0.024804669,-0.00300911
-0.024803669,-0.00295722
-0.024802669,-0.00290014
-0.024801669,-0.00284176
-0.024800669,-0.00278079
-0.024799669,-0.00272112
-0.024798669,-0.00266275
-0.024797669,-0.00260696
-0.024796669,-0.00255507
-0.024795669,-0.00251097
-0.024794669,-0.00247594
-0.024793669,-0.00245389
-0.024792669,-0.0024487
-0.024791669,-0.00246167
-0.024790669,-0.002498
-0.024789669,-0.00256026
-0.024788669,-0.00265237
-0.024787669,-0.0027795
-0.024786669,-0.00294165
-0.024785669,-0.00314402
-0.024784669,-0.0033892
-0.024783669,-0.00367719
-0.024782669,-0.00400928
-0.024781669,-0.00438808
-0.024780669,-0.00480838
-0.024779669,-0.0052715
-0.024778669,-0.00577483
-0.024777669,-0.00631188
-0.024776669,-0.00687748
-0.024775669,-0.00746643
-0.024774669,-0.00807094
-0.024773669,-0.00868324
-0.024772669,-0.00929164
-0.024771669,-0.00988967
-0.024770669,-0.0104631
-0.024769669,-0.0110053
-0.024768669,-0.011506
-0.024767669,-0.0119562
-0.024766669,-0.0123453
-0.024765669,-0.0126697
-0.024764669,-0.0129213
-0.024763669,-0.0130964
-0.024762669,-0.0131911
-0.024761669,-0.0132041
-0.024760669,-0.0131354
-0.024759669,-0.0129875
-0.024758669,-0.0127631
-0.024757669,-0.012466
-0.024756669,-0.0121028
-0.024755669,-0.0116825
-0.024754669,-0.0112103
-0.024753669,-0.0106979
-0.024752669,-0.0101517
-0.024751669,-0.00958352
-0.024750669,-0.00900106
-0.024749669,-0.00841601
-0.024748669,-0.00783355
-0.024747669,-0.00726276
-0.024746669,-0.00671014
-0.024745669,-0.00618216
-0.024744669,-0.00568402
-0.024743669,-0.00521701
-0.024742669,-0.00478763
-0.024741669,-0.00439326
-0.024740669,-0.00403912
-0.024739669,-0.00372259
-0.024738669,-0.00344368
-0.024737669,-0.0032011
-0.024736669,-0.00299354
-0.024735669,-0.00281712
-0.024734669,-0.00266923
-0.024733669,-0.00254859
-0.024732669,-0.00245
-0.024731669,-0.00237087
-0.024730669,-0.0023086
-0.024729669,-0.0022606
-0.024728669,-0.00222558
-0.024727669,-0.00220093
-0.024726669,-0.00218277
-0.024725669,-0.00217369
-0.024724669,-0.0021685
-0.024723669,-0.0021685
-0.024722669,-0.00217109
-0.024721669,-0.00217628
-0.024720669,-0.00218277
-0.024719669,-0.00218925
-0.024718669,-0.00219574
-0.024717669,-0.00220223
-0.024716669,-0.00220871
-0.024715669,-0.0022139
-0.024714669,-0.00221779
-0.024713669,-0.00222168
-0.024712669,-0.00222428
-0.024711669,-0.00222687
-0.024710669,-0.00223076
-0.024709669,-0.00223466
-0.024708669,-0.00224114
-0.024707669,-0.00225022
-0.024706669,-0.00226449
-0.024705669,-0.00228395
-0.024704669,-0.00231119
-0.024703669,-0.00234752
-0.024702669,-0.00239422
-0.024701669,-0.00245389
-0.024700669,-0.00252654
-0.024699669,-0.00261475
-0.024698669,-0.00271853
-0.024697669,-0.00283917
-0.024696669,-0.00297798
-0.024695669,-0.00313494
-0.024694669,-0.00330747
-0.024693669,-0.00349687
-0.024692669,-0.00370054
-0.024691669,-0.00391588
-0.024690669,-0.0041416
-0.024689669,-0.0043751
-0.024688669,-0.0046112
-0.024687669,-0.0048486
-0.024686669,-0.0050821
-0.024685669,-0.00530782
-0.024684669,-0.00552316
-0.024683669,-0.00572294
-0.024682669,-0.00590325
-0.024681669,-0.00606022
-0.024680669,-0.00619254
-0.024679669,-0.00629632
-0.024678669,-0.00637026
-0.024677669,-0.00641307
-0.024676669,-0.00642345
-0.024675669,-0.00640269
-0.024674669,-0.0063495
-0.024673669,-0.00626518
-0.024672669,-0.00615362
-0.024671669,-0.00601352
-0.024670669,-0.00585136
-0.024669669,-0.00566845
-0.024668669,-0.00546868
-0.024667669,-0.00525463
-0.024666669,-0.00503021
-0.024665669,-0.0048006
-0.024664669,-0.00456709
-0.024663669,-0.00433359
-0.024662669,-0.00410398
-0.024661669,-0.00387956
-0.024660669,-0.00366422
-0.024659669,-0.00345925
-0.024658669,-0.00326596
-0.024657669,-0.00308694
-0.024656669,-0.00292349
-0.024655669,-0.00277561
-0.024654669,-0.00264329
-0.024653669,-0.00252783
-0.024652669,-0.00242924
-0.024651669,-0.00234622
-0.024650669,-0.00227876
-0.024649669,-0.00222817
-0.024648669,-0.00219314
-0.024647669,-0.00217369
-0.024646669,-0.00216979
-0.024645669,-0.00218147
-0.024644669,-0.00220741
-0.024643669,-0.00224633
-0.024642669,-0.00229952
-0.024641669,-0.00236568
-0.024640669,-0.00244351
-0.024639669,-0.00253302
-0.024638669,-0.00263291
-0.024637669,-0.00274188
-0.024636669,-0.00285993
-0.024635669,-0.00298316
-0.024634669,-0.00311159
-0.024633669,-0.00324131
-0.024632669,-0.00337234
-0.024631669,-0.00350206
-0.024630669,-0.0036253
-0.024629669,-0.00374335
-0.024628669,-0.00385232
-0.024627669,-0.00394961
-0.024626669,-0.00403393
-0.024625669,-0.00410528
-0.024624669,-0.00415846
-0.024623669,-0.00419608
-0.024622669,-0.00421554
-0.024621669,-0.00421684
-0.024620669,-0.00419868
-0.024619669,-0.00416495
-0.024618669,-0.00411306
-0.024617669,-0.0040456
-0.024616669,-0.00396258
-0.024615669,-0.00386788
-0.024614669,-0.00376151
-0.024613669,-0.00364605
-0.024612669,-0.00352411
-0.024611669,-0.00339698
-0.024610669,-0.00326856
-0.024609669,-0.00313883
-0.024608669,-0.0030117
-0.024607669,-0.00288847
-0.024606669,-0.00276912
-0.024605669,-0.00265626
-0.024604669,-0.00255118
-0.024603669,-0.00245519
-0.024602669,-0.00236697
-0.024601669,-0.00228914
-0.024600669,-0.00222298
-0.024599669,-0.0021659
-0.024598669,-0.0021179
-0.024597669,-0.00208028
-0.024596669,-0.00205304
-0.024595669,-0.00203229
-0.024594669,-0.00201931
-0.024593669,-0.00201283
-0.024592669,-0.00201283
-0.024591669,-0.00201542
-0.024590669,-0.00202321
-0.024589669,-0.00203358
-0.024588669,-0.00204396
-0.024587669,-0.00205564
-0.024586669,-0.00206861
-0.024585669,-0.00207899
-0.024584669,-0.00208807
-0.024583669,-0.00209585
-0.024582669,-0.00209974
-0.024581669,-0.00210234
-0.024580669,-0.00209974
-0.024579669,-0.00209455
-0.024578669,-0.00208677
-0.024577669,-0.0020738
-0.024576669,-0.00205953
-0.024575669,-0.00204137
-0.024574669,-0.00202191
-0.024573669,-0.00200115
-0.024572669,-0.0019778
-0.024571669,-0.00195445
-0.024570669,-0.0019311
-0.024569669,-0.00190775
-0.024568669,-0.001887
-0.024567669,-0.00186754
-0.024566669,-0.00185197
-0.024565669,-0.0018403
-0.024564669,-0.00183251
-0.024563669,-0.00182992
-0.024562669,-0.00183251
-0.024561669,-0.00184159
-0.024560669,-0.00185586
-0.024559669,-0.00187792
-0.024558669,-0.00190775
-0.024557669,-0.00194278
-0.024556669,-0.00198559
-0.024555669,-0.00203618
-0.024554669,-0.00209196
-0.024553669,-0.00215552
-0.024552669,-0.00222428
-0.024551669,-0.00229822
-0.024550669,-0.00237606
-0.024549669,-0.00245648
-0.024548669,-0.00253821
-0.024547669,-0.00262123
-0.024546669,-0.00270426
-0.024545669,-0.00278598
-0.024544669,-0.00286382
-0.024543669,-0.00293776
-0.024542669,-0.00300651
-0.024541669,-0.00306878
-0.024540669,-0.00312327
-0.024539669,-0.00316997
-0.024538669,-0.00320759
-0.024537669,-0.00323483
-0.024536669,-0.00325169
-0.024535669,-0.00325948
-0.024534669,-0.00325688
-0.024533669,-0.00324521
-0.024532669,-0.00322445
-0.024531669,-0.00319461
-0.024530669,-0.00315699
-0.024529669,-0.00311289
-0.024528669,-0.0030623
-0.024527669,-0.00300522
-0.024526669,-0.00294554
-0.024525669,-0.00288328
-0.024524669,-0.00281841
-0.024523669,-0.00275226
-0.024522669,-0.00268739
-0.024521669,-0.00262253
-0.024520669,-0.00256026
-0.024519669,-0.00250189
-0.024518669,-0.00244611
-0.024517669,-0.00239422
-0.024516669,-0.00234752
-0.024515669,-0.002306
-0.024514669,-0.00227098
-0.024513669,-0.00224244
-0.024512669,-0.00222168
-0.024511669,-0.00220612
-0.024510669,-0.00219963
-0.024509669,-0.00219963
-0.024508669,-0.00220871
-0.024507669,-0.00222298
-0.024506669,-0.00224633
-0.024505669,-0.00227487
-0.024504669,-0.00231119
-0.024503669,-0.002354
-0.024502669,-0.002402
-0.024501669,-0.00245648
-0.024500669,-0.00251616
-0.024499669,-0.00257843
-0.024498669,-0.00264588
-0.024497669,-0.00271593
-0.024496669,-0.00278728
-0.024495669,-0.00285863
-0.024494669,-0.00292868
-0.024493669,-0.00299614
-0.024492669,-0.003061
-0.024491669,-0.00312067
-0.024490669,-0.00317516
-0.024489669,-0.00322315
-0.024488669,-0.00326467
-0.024487669,-0.0032971
-0.024486669,-0.00332045
-0.024485669,-0.00333601
-0.024484669,-0.0033425
