LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:26:30,0                 
Time,Ampl
-0.025000335,-0.00241388
-0.024999335,-0.00236199
-0.024998335,-0.00232567
-0.024997335,-0.00230232
-0.024996335,-0.00229194
-0.024995335,-0.00229453
-0.024994335,-0.00230751
-0.024993335,-0.00232826
-0.024992335,-0.0023568
-0.024991335,-0.00239053
-0.024990335,-0.00242945
-0.024989335,-0.00246836
-0.024988335,-0.00250988
-0.024987335,-0.00254879
-0.024986335,-0.00258512
-0.024985335,-0.00261884
-0.024984335,-0.00264738
-0.024983335,-0.00266814
-0.024982335,-0.0026863
-0.024981335,-0.00269408
-0.024980335,-0.00269668
-0.024979335,-0.00269149
-0.024978335,-0.00268111
-0.024977335,-0.00266036
-0.024976335,-0.00263441
-0.024975335,-0.00260328
-0.024974335,-0.00256695
-0.024973335,-0.00252544
-0.024972335,-0.00248134
-0.024971335,-0.00243464
-0.024970335,-0.00238275
-0.024969335,-0.00233086
-0.024968335,-0.00227897
-0.024967335,-0.00222967
-0.024966335,-0.00218297
-0.024965335,-0.00213627
-0.024964335,-0.00209476
-0.024963335,-0.00205844
-0.024962335,-0.0020273
-0.024961335,-0.00200395
-0.024960335,-0.00199357
-0.024959335,-0.00199098
-0.024958335,-0.00200655
-0.024957335,-0.00203509
-0.024956335,-0.00208698
-0.024955335,-0.00215962
-0.024954335,-0.00226081
-0.024953335,-0.00238794
-0.024952335,-0.00254879
-0.024951335,-0.00274597
-0.024950335,-0.00297948
-0.024949335,-0.00325449
-0.024948335,-0.00357102
-0.024947335,-0.00392906
-0.024946335,-0.0043312
-0.024945335,-0.00477745
-0.024944335,-0.00526262
-0.024943335,-0.0057893
-0.024942335,-0.00634971
-0.024941335,-0.00694125
-0.024940335,-0.00755873
-0.024939335,-0.00819438
-0.024938335,-0.00883781
-0.024937335,-0.00948384
-0.024936335,-0.0101221
-0.024935335,-0.0107422
-0.024934335,-0.0113337
-0.024933335,-0.0118889
-0.024932335,-0.0123974
-0.024931335,-0.0128489
-0.024930335,-0.0132381
-0.024929335,-0.0135572
-0.024928335,-0.0138011
-0.024927335,-0.0139645
-0.024926335,-0.0140449
-0.024925335,-0.0140423
-0.024924335,-0.0139567
-0.024923335,-0.0137881
-0.024922335,-0.0135442
-0.024921335,-0.0132251
-0.024920335,-0.0128385
-0.024919335,-0.0123923
-0.024918335,-0.0118967
-0.024917335,-0.0113571
-0.024916335,-0.0107863
-0.024915335,-0.0101921
-0.024914335,-0.00958243
-0.024913335,-0.00897013
-0.024912335,-0.00835783
-0.024911335,-0.00775592
-0.024910335,-0.00716956
-0.024909335,-0.00660656
-0.024908335,-0.0060721
-0.024907335,-0.00557136
-0.024906335,-0.00510176
-0.024905335,-0.00467367
-0.024904335,-0.00428191
-0.024903335,-0.00393165
-0.024902335,-0.00361772
-0.024901335,-0.00334011
-0.024900335,-0.00310142
-0.024899335,-0.00289386
-0.024898335,-0.00271743
-0.024897335,-0.00256695
-0.024896335,-0.00244242
-0.024895335,-0.00234123
-0.024894335,-0.00226081
-0.024893335,-0.00219594
-0.024892335,-0.00214665
-0.024891335,-0.00211292
-0.024890335,-0.00208698
-0.024889335,-0.00207141
-0.024888335,-0.00206362
-0.024887335,-0.00206103
-0.024886335,-0.00206103
-0.024885335,-0.00206622
-0.024884335,-0.00206881
-0.024883335,-0.002074
-0.024882335,-0.00207919
-0.024881335,-0.00208179
-0.024880335,-0.00208438
-0.024879335,-0.00208438
-0.024878335,-0.00208438
-0.024877335,-0.00207919
-0.024876335,-0.00207141
-0.024875335,-0.00206103
-0.024874335,-0.00204806
-0.024873335,-0.00203249
-0.024872335,-0.00201433
-0.024871335,-0.00199617
-0.024870335,-0.00197541
-0.024869335,-0.00195466
-0.024868335,-0.0019339
-0.024867335,-0.00191574
-0.024866335,-0.00190017
-0.024865335,-0.0018872
-0.024864335,-0.00187942
-0.024863335,-0.00187682
-0.024862335,-0.00187942
-0.024861335,-0.00189239
-0.024860335,-0.00191833
-0.024859335,-0.00195206
-0.024858335,-0.00200136
-0.024857335,-0.00206103
-0.024856335,-0.00213886
-0.024855335,-0.00223227
-0.024854335,-0.00234123
-0.024853335,-0.00246836
-0.024852335,-0.00261365
-0.024851335,-0.00277451
-0.024850335,-0.00295094
-0.024849335,-0.00314293
-0.024848335,-0.00335049
-0.024847335,-0.00357102
-0.024846335,-0.00380193
-0.024845335,-0.00403802
-0.024844335,-0.00428191
-0.024843335,-0.00452579
-0.024842335,-0.00476967
-0.024841335,-0.00500836
-0.024840335,-0.00523667
-0.024839335,-0.00545461
-0.024838335,-0.00565439
-0.024837335,-0.00583341
-0.024836335,-0.00598907
-0.024835335,-0.00612139
-0.024834335,-0.00622258
-0.024833335,-0.00629263
-0.024832335,-0.00632895
-0.024831335,-0.00633414
-0.024830335,-0.0063056
-0.024829335,-0.00624333
-0.024828335,-0.00614993
-0.024827335,-0.00603059
-0.024826335,-0.00588011
-0.024825335,-0.00570887
-0.024824335,-0.00551428
-0.024823335,-0.00530154
-0.024822335,-0.00507582
-0.024821335,-0.00484231
-0.024820335,-0.00460103
-0.024819335,-0.00435974
-0.024818335,-0.00411845
-0.024817335,-0.00388495
-0.024816335,-0.00366442
-0.024815335,-0.00345427
-0.024814335,-0.00326487
-0.024813335,-0.00309104
-0.024812335,-0.00293796
-0.024811335,-0.00280824
-0.024810335,-0.00270187
-0.024809335,-0.00261884
-0.024808335,-0.00256177
-0.024807335,-0.00252804
-0.024806335,-0.00251766
-0.024805335,-0.00253063
-0.024804335,-0.00256436
-0.024803335,-0.00262144
-0.024802335,-0.00269668
-0.024801335,-0.00279008
-0.024800335,-0.00289645
-0.024799335,-0.0030132
