LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:09:23,0                 
Time,Ampl
-0.025000872,-0.014102
-0.024999872,-0.0140138
-0.024998872,-0.0138426
-0.024997872,-0.0135935
-0.024996872,-0.0132692
-0.024995872,-0.01288
-0.024994872,-0.0124312
-0.024993872,-0.0119304
-0.024992872,-0.0113882
-0.024991872,-0.0108122
-0.024990872,-0.0102155
-0.024989872,-0.00960319
-0.024988872,-0.00898829
-0.024987872,-0.0083734
-0.024986872,-0.00777408
-0.024985872,-0.00719032
-0.024984872,-0.00663251
-0.024983872,-0.00610323
-0.024982872,-0.00560769
-0.024981872,-0.00514587
-0.024980872,-0.00472297
-0.024979872,-0.00433639
-0.024978872,-0.00399132
-0.024977872,-0.00368258
-0.024976872,-0.00341016
-0.024975872,-0.00317406
-0.024974872,-0.0029665
-0.024973872,-0.00279008
-0.024972872,-0.00263701
-0.024971872,-0.00250728
-0.024970872,-0.00239572
-0.024969872,-0.00230232
-0.024968872,-0.00222448
-0.024967872,-0.00215962
-0.024966872,-0.00210514
-0.024965872,-0.00205844
-0.024964872,-0.00201952
-0.024963872,-0.00198839
-0.024962872,-0.00196244
-0.024961872,-0.00193909
-0.024960872,-0.00192093
-0.024959872,-0.00190536
-0.024958872,-0.00189239
-0.024957872,-0.00188201
-0.024956872,-0.00187423
-0.024955872,-0.00186904
-0.024954872,-0.00186644
-0.024953872,-0.00186644
-0.024952872,-0.00186904
-0.024951872,-0.00187163
-0.024950872,-0.00187682
-0.024949872,-0.00188461
-0.024948872,-0.00189498
-0.024947872,-0.00190277
-0.024946872,-0.00191315
-0.024945872,-0.00192612
-0.024944872,-0.0019365
-0.024943872,-0.00194687
-0.024942872,-0.00195985
-0.024941872,-0.00197282
-0.024940872,-0.00198839
-0.024939872,-0.00200395
-0.024938872,-0.00201952
-0.024937872,-0.00203768
-0.024936872,-0.00205844
-0.024935872,-0.00208438
-0.024934872,-0.00211292
-0.024933872,-0.00214665
-0.024932872,-0.00219075
-0.024931872,-0.00224264
-0.024930872,-0.00230491
-0.024929872,-0.00238015
-0.024928872,-0.00246577
-0.024927872,-0.00256695
-0.024926872,-0.00268371
-0.024925872,-0.00281343
-0.024924872,-0.00295872
-0.024923872,-0.00311958
-0.024922872,-0.00329341
-0.024921872,-0.00347762
-0.024920872,-0.0036748
-0.024919872,-0.00387717
-0.024918872,-0.00408473
-0.024917872,-0.00429488
-0.024916872,-0.00450244
-0.024915872,-0.0047074
-0.024914872,-0.00490199
-0.024913872,-0.0050836
-0.024912872,-0.00524965
-0.024911872,-0.00539494
-0.024910872,-0.00551947
-0.024909872,-0.00561806
-0.024908872,-0.00569071
-0.024907872,-0.00573222
-0.024906872,-0.00574519
-0.024905872,-0.00572703
-0.024904872,-0.00568033
-0.024903872,-0.0056025
-0.024902872,-0.00549612
-0.024901872,-0.0053638
-0.024900872,-0.00521073
-0.024899872,-0.00503431
-0.024898872,-0.00484231
-0.024897872,-0.00463735
-0.024896872,-0.00442201
-0.024895872,-0.00419888
-0.024894872,-0.00397316
-0.024893872,-0.00375004
-0.024892872,-0.00352951
-0.024891872,-0.00331676
-0.024890872,-0.00311439
-0.024889872,-0.00292499
-0.024888872,-0.00274857
