LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 12:41:14,0                 
Time,Ampl
-0.025000434,-0.00157067
-0.024999434,-0.00157586
-0.024998434,-0.00157846
-0.024997434,-0.00158624
-0.024996434,-0.00159143
-0.024995434,-0.00159662
-0.024994434,-0.00160181
-0.024993434,-0.001607
-0.024992434,-0.00161478
-0.024991434,-0.00161997
-0.024990434,-0.00162256
-0.024989434,-0.00162775
-0.024988434,-0.00163294
-0.024987434,-0.00163813
-0.024986434,-0.00164332
-0.024985434,-0.00164591
-0.024984434,-0.0016511
-0.024983434,-0.00165629
-0.024982434,-0.00166148
-0.024981434,-0.00166926
-0.024980434,-0.00167445
-0.024979434,-0.00168224
-0.024978434,-0.00169002
-0.024977434,-0.0017004
-0.024976434,-0.00170818
-0.024975434,-0.00171856
-0.024974434,-0.00172894
-0.024973434,-0.00173672
-0.024972434,-0.0017471
-0.024971434,-0.00175748
-0.024970434,-0.00176785
-0.024969434,-0.00177564
-0.024968434,-0.00178342
-0.024967434,-0.00178861
-0.024966434,-0.0017938
-0.024965434,-0.00179899
-0.024964434,-0.00180158
-0.024963434,-0.00180158
-0.024962434,-0.00179899
-0.024961434,-0.0017938
-0.024960434,-0.00178861
-0.024959434,-0.00177823
-0.024958434,-0.00176785
-0.024957434,-0.00175748
-0.024956434,-0.0017445
-0.024955434,-0.00172894
-0.024954434,-0.00171596
-0.024953434,-0.0017004
-0.024952434,-0.00168483
-0.024951434,-0.00167186
-0.024950434,-0.00165629
-0.024949434,-0.00164332
-0.024948434,-0.00163035
-0.024947434,-0.00161997
-0.024946434,-0.001607
-0.024945434,-0.00159662
-0.024944434,-0.00158884
-0.024943434,-0.00158105
-0.024942434,-0.00157327
-0.024941434,-0.00156808
-0.024940434,-0.00156289
-0.024939434,-0.0015577
-0.024938434,-0.00155251
-0.024937434,-0.00154732
-0.024936434,-0.00154213
-0.024935434,-0.00153695
-0.024934434,-0.00152916
-0.024933434,-0.00152397
-0.024932434,-0.00151619
-0.024931434,-0.001511
-0.024930434,-0.00150581
-0.024929434,-0.00150322
-0.024928434,-0.00150062
-0.024927434,-0.00149803
-0.024926434,-0.00150062
-0.024925434,-0.00150062
-0.024924434,-0.00150581
-0.024923434,-0.001511
-0.024922434,-0.00151878
-0.024921434,-0.00152657
-0.024920434,-0.00153695
-0.024919434,-0.00154992
-0.024918434,-0.00156289
-0.024917434,-0.00157846
-0.024916434,-0.00159662
-0.024915434,-0.00161737
-0.024914434,-0.00164072
-0.024913434,-0.00166667
-0.024912434,-0.0016978
-0.024911434,-0.00173413
-0.024910434,-0.00178342
-0.024909434,-0.00184569
-0.024908434,-0.0019339
-0.024907434,-0.00205065
-0.024906434,-0.00220373
-0.024905434,-0.0024061
-0.024904434,-0.00266036
-0.024903434,-0.00297948
-0.024902434,-0.00337124
-0.024901434,-0.00384084
-0.024900434,-0.00439866
-0.024899434,-0.00504987
-0.024898434,-0.00580487
-0.024897434,-0.00666364
-0.024896434,-0.00763138
-0.024895434,-0.00870809
-0.024894434,-0.00988858
-0.024893434,-0.0111703
-0.024892434,-0.0125427
-0.024891434,-0.0139956
-0.024890434,-0.0155082
-0.024889434,-0.0170649
-0.024888434,-0.018645
-0.024887434,-0.0202276
-0.024886434,-0.0217895
-0.024885434,-0.023302
-0.024884434,-0.0247472
-0.024883434,-0.0260963
-0.024882434,-0.0273261
-0.024881434,-0.0284184
-0.024880434,-0.0293524
-0.024879434,-0.0301074
-0.024878434,-0.0306704
-0.024877434,-0.0310336
-0.024876434,-0.0311867
-0.024875434,-0.031127
-0.024874434,-0.0308598
-0.024873434,-0.0303902
-0.024872434,-0.0297312
-0.024871434,-0.0288906
-0.024870434,-0.0278943
-0.024869434,-0.0267553
-0.024868434,-0.025497
-0.024867434,-0.0241452
-0.024866434,-0.0227183
-0.024865434,-0.0212446
-0.024864434,-0.0197424
-0.024863434,-0.018235
-0.024862434,-0.0167432
-0.024861434,-0.0152851
-0.024860434,-0.0138789
-0.024859434,-0.0125401
-0.024858434,-0.0112792
-0.024857434,-0.0101065
-0.024856434,-0.00902721
-0.024855434,-0.0080465
-0.024854434,-0.00716178
-0.024853434,-0.00637046
-0.024852434,-0.00567514
-0.024851434,-0.00506284
-0.024850434,-0.00453357
-0.024849434,-0.00407954
-0.024848434,-0.00369296
-0.024847434,-0.00336605
-0.024846434,-0.00309623
-0.024845434,-0.00287051
-0.024844434,-0.00268371
-0.024843434,-0.00253063
-0.024842434,-0.0024035
-0.024841434,-0.00229972
-0.024840434,-0.0022141
-0.024839434,-0.00214146
-0.024838434,-0.00207919
-0.024837434,-0.00202471
-0.024836434,-0.00197801
-0.024835434,-0.0019365
-0.024834434,-0.00189758
-0.024833434,-0.00186385
-0.024832434,-0.00183272
-0.024831434,-0.00180418
-0.024830434,-0.00177564
-0.024829434,-0.00174969
-0.024828434,-0.00172634
-0.024827434,-0.00170559
-0.024826434,-0.00168743
-0.024825434,-0.00166926
-0.024824434,-0.0016511
-0.024823434,-0.00163554
-0.024822434,-0.00161997
-0.024821434,-0.001607
-0.024820434,-0.00159662
-0.024819434,-0.00158624
-0.024818434,-0.00157846
-0.024817434,-0.00157067
-0.024816434,-0.00156548
-0.024815434,-0.0015603
-0.024814434,-0.00155511
-0.024813434,-0.00155251
-0.024812434,-0.00154992
