LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 12:40:32,0                 
Time,Ampl
-0.025000298,-0.00185607
-0.024999298,-0.00186904
-0.024998298,-0.00188461
-0.024997298,-0.00190017
-0.024996298,-0.00191833
-0.024995298,-0.00194168
-0.024994298,-0.00197282
-0.024993298,-0.00201692
-0.024992298,-0.00207919
-0.024991298,-0.0021674
-0.024990298,-0.00229194
-0.024989298,-0.00245539
-0.024988298,-0.00267333
-0.024987298,-0.00294834
-0.024986298,-0.00329081
-0.024985298,-0.00370853
-0.024984298,-0.00420926
-0.024983298,-0.0048008
-0.024982298,-0.00548834
-0.024981298,-0.00628225
-0.024980298,-0.00718513
-0.024979298,-0.00819957
-0.024978298,-0.00932298
-0.024977298,-0.0105554
-0.024976298,-0.0118915
-0.024975298,-0.0133159
-0.024974298,-0.0148233
-0.024973298,-0.0163903
-0.024972298,-0.0180041
-0.024971298,-0.0196412
-0.024970298,-0.0212809
-0.024969298,-0.0228999
-0.024968298,-0.0244773
-0.024967298,-0.0259873
-0.024966298,-0.0274039
-0.024965298,-0.0287089
-0.024964298,-0.0298765
-0.024963298,-0.0308909
-0.024962298,-0.0317289
-0.024961298,-0.0323801
-0.024960298,-0.032829
-0.024959298,-0.0330703
-0.024958298,-0.0330988
-0.024957298,-0.0329172
-0.024956298,-0.032528
-0.024955298,-0.0319469
-0.024954298,-0.0311789
-0.024953298,-0.0302449
-0.024952298,-0.029163
-0.024951298,-0.0279488
-0.024950298,-0.0266308
-0.024949298,-0.0252246
-0.024948298,-0.0237535
-0.024947298,-0.0222435
-0.024946298,-0.0207102
-0.024945298,-0.0191794
-0.024944298,-0.0176668
-0.024943298,-0.0161932
-0.024942298,-0.014774
-0.024941298,-0.0134223
-0.024940298,-0.0121484
-0.024939298,-0.0109627
-0.024938298,-0.00986782
-0.024937298,-0.00886635
-0.024936298,-0.00795828
-0.024935298,-0.00713843
-0.024934298,-0.00640938
-0.024933298,-0.00576076
-0.024932298,-0.00519257
-0.024931298,-0.00469962
-0.024930298,-0.00427153
-0.024929298,-0.00390571
-0.024928298,-0.00359696
-0.024927298,-0.00333492
-0.024926298,-0.00311698
-0.024925298,-0.00293537
-0.024924298,-0.00278489
-0.024923298,-0.00266036
-0.024922298,-0.00255917
-0.024921298,-0.00247355
-0.024920298,-0.0024061
-0.024919298,-0.00234902
-0.024918298,-0.00230232
-0.024917298,-0.00226599
-0.024916298,-0.00223486
-0.024915298,-0.00221151
-0.024914298,-0.00219075
-0.024913298,-0.00217519
-0.024912298,-0.00216222
-0.024911298,-0.00215184
-0.024910298,-0.00214146
-0.024909298,-0.00213368
-0.024908298,-0.0021233
-0.024907298,-0.00211551
-0.024906298,-0.00210773
-0.024905298,-0.00209995
-0.024904298,-0.00209216
-0.024903298,-0.00208438
-0.024902298,-0.0020766
-0.024901298,-0.00206881
-0.024900298,-0.00206103
-0.024899298,-0.00205325
-0.024898298,-0.00204546
-0.024897298,-0.00203768
-0.024896298,-0.0020299
-0.024895298,-0.00202471
-0.024894298,-0.00201692
-0.024893298,-0.00200914
-0.024892298,-0.00200136
-0.024891298,-0.00199617
-0.024890298,-0.00198839
-0.024889298,-0.0019832
-0.024888298,-0.00197541
-0.024887298,-0.00197022
-0.024886298,-0.00196503
-0.024885298,-0.00195985
-0.024884298,-0.00195466
-0.024883298,-0.00194947
-0.024882298,-0.00194168
-0.024881298,-0.0019365
-0.024880298,-0.00193131
-0.024879298,-0.00192352
-0.024878298,-0.00191833
-0.024877298,-0.00191055
-0.024876298,-0.00190277
-0.024875298,-0.00189758
-0.024874298,-0.00188979
-0.024873298,-0.00188461
-0.024872298,-0.00187942
-0.024871298,-0.00187682
-0.024870298,-0.00187163
-0.024869298,-0.00186904
-0.024868298,-0.00186644
