LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 12:41:53,0                 
Time,Ampl
-0.025000916,-0.00163813
-0.024999916,-0.00164332
-0.024998916,-0.00164851
-0.024997916,-0.0016537
-0.024996916,-0.00165889
-0.024995916,-0.00166667
-0.024994916,-0.00167186
-0.024993916,-0.00167964
-0.024992916,-0.00169002
-0.024991916,-0.0016978
-0.024990916,-0.00170559
-0.024989916,-0.00171596
-0.024988916,-0.00172634
-0.024987916,-0.00173413
-0.024986916,-0.0017445
-0.024985916,-0.00175229
-0.024984916,-0.00176007
-0.024983916,-0.00176526
-0.024982916,-0.00177304
-0.024981916,-0.00177823
-0.024980916,-0.00178342
-0.024979916,-0.0017912
-0.024978916,-0.00179639
-0.024977916,-0.00180158
-0.024976916,-0.00180677
-0.024975916,-0.00181196
-0.024974916,-0.00181974
-0.024973916,-0.00182753
-0.024972916,-0.00183272
-0.024971916,-0.0018405
-0.024970916,-0.00184828
-0.024969916,-0.00185607
-0.024968916,-0.00186644
-0.024967916,-0.00187423
-0.024966916,-0.00188461
-0.024965916,-0.00189498
-0.024964916,-0.00190536
-0.024963916,-0.00191574
-0.024962916,-0.00192352
-0.024961916,-0.0019339
-0.024960916,-0.00194168
-0.024959916,-0.00194947
-0.024958916,-0.00195206
-0.024957916,-0.00195466
-0.024956916,-0.00195725
-0.024955916,-0.00195466
-0.024954916,-0.00195466
-0.024953916,-0.00194947
-0.024952916,-0.00194428
-0.024951916,-0.0019365
-0.024950916,-0.00192871
-0.024949916,-0.00191574
-0.024948916,-0.00190277
-0.024947916,-0.00188979
-0.024946916,-0.00187423
-0.024945916,-0.00185866
-0.024944916,-0.0018405
-0.024943916,-0.00182493
-0.024942916,-0.00181196
-0.024941916,-0.00179639
-0.024940916,-0.00178602
-0.024939916,-0.00177564
-0.024938916,-0.00177045
-0.024937916,-0.00176526
-0.024936916,-0.00176267
-0.024935916,-0.00176526
-0.024934916,-0.00176785
-0.024933916,-0.00177304
-0.024932916,-0.00178083
-0.024931916,-0.0017938
-0.024930916,-0.00180418
-0.024929916,-0.00181974
-0.024928916,-0.00183531
-0.024927916,-0.00185347
-0.024926916,-0.00187423
-0.024925916,-0.00189239
-0.024924916,-0.00191055
-0.024923916,-0.00192871
-0.024922916,-0.00194428
-0.024921916,-0.00196244
-0.024920916,-0.00197541
-0.024919916,-0.00198839
-0.024918916,-0.00200136
-0.024917916,-0.00200914
-0.024916916,-0.00201952
-0.024915916,-0.0020273
-0.024914916,-0.00203509
-0.024913916,-0.00204027
-0.024912916,-0.00204806
-0.024911916,-0.00205065
-0.024910916,-0.00205584
-0.024909916,-0.00206362
-0.024908916,-0.00206881
-0.024907916,-0.0020766
-0.024906916,-0.00208698
-0.024905916,-0.00210514
-0.024904916,-0.00213368
-0.024903916,-0.00217778
-0.024902916,-0.00224264
-0.024901916,-0.00233086
-0.024900916,-0.00245799
-0.024899916,-0.00262663
-0.024898916,-0.00284975
-0.024897916,-0.00312996
-0.024896916,-0.00347762
-0.024895916,-0.00389792
-0.024894916,-0.00440385
-0.024893916,-0.00500058
-0.024892916,-0.0056959
-0.024891916,-0.0064924
-0.024890916,-0.00739788
-0.024889916,-0.00841232
-0.024888916,-0.00953573
-0.024887916,-0.0107655
-0.024886916,-0.0120939
-0.024885916,-0.0135079
-0.024884916,-0.0149997
-0.024883916,-0.0165486
-0.024882916,-0.018139
-0.024881916,-0.0197502
-0.024880916,-0.0213614
-0.024879916,-0.0229466
-0.024878916,-0.0244825
-0.024877916,-0.0259484
-0.024876916,-0.0273209
-0.024875916,-0.0285714
-0.024874916,-0.0296871
-0.024873916,-0.0306418
-0.024872916,-0.0314202
-0.024871916,-0.0320065
-0.024870916,-0.0323931
-0.024869916,-0.0325721
-0.024868916,-0.032541
-0.024867916,-0.0322997
-0.024866916,-0.031856
-0.024865916,-0.031223
-0.024864916,-0.0304109
-0.024863916,-0.029438
-0.024862916,-0.0283224
-0.024861916,-0.0270822
-0.024860916,-0.0257434
-0.024859916,-0.0243295
-0.024858916,-0.0228558
-0.024857916,-0.021351
-0.024856916,-0.0198306
-0.024855916,-0.0183206
-0.024854916,-0.0168366
-0.024853916,-0.0153967
-0.024852916,-0.014019
-0.024851916,-0.0127114
-0.024850916,-0.0114868
-0.024849916,-0.0103504
-0.024848916,-0.00930741
-0.024847916,-0.00835783
-0.024846916,-0.00749906
-0.024845916,-0.0067311
-0.024844916,-0.00604875
-0.024843916,-0.00544942
-0.024842916,-0.00492534
-0.024841916,-0.0044713
-0.024840916,-0.00408213
-0.024839916,-0.00374744
-0.024838916,-0.00346205
-0.024837916,-0.00322336
-0.024836916,-0.00301839
-0.024835916,-0.00284716
-0.024834916,-0.00270446
