LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 10:30:42,0                 
Time,Ampl
-0.025000724,-0.0064483
-0.024999724,-0.00638344
-0.024998724,-0.00631857
-0.024997724,-0.00625112
-0.024996724,-0.00618107
-0.024995724,-0.00611101
-0.024994724,-0.00604096
-0.024993724,-0.00596832
-0.024992724,-0.00589567
-0.024991724,-0.00582043
-0.024990724,-0.00574779
-0.024989724,-0.00567514
-0.024988724,-0.0055999
-0.024987724,-0.00552726
-0.024986724,-0.00545461
-0.024985724,-0.00538456
-0.024984724,-0.00531191
-0.024983724,-0.00524186
-0.024982724,-0.00517181
-0.024981724,-0.00510436
-0.024980724,-0.00503431
-0.024979724,-0.00496685
-0.024978724,-0.00489939
-0.024977724,-0.00483453
-0.024976724,-0.00476967
-0.024975724,-0.0047074
-0.024974724,-0.00464773
-0.024973724,-0.00459065
-0.024972724,-0.00453357
-0.024971724,-0.00447909
-0.024970724,-0.00442979
-0.024969724,-0.0043779
-0.024968724,-0.0043312
-0.024967724,-0.00428709
-0.024966724,-0.00424299
-0.024965724,-0.00420407
-0.024964724,-0.00417034
-0.024963724,-0.00413921
-0.024962724,-0.00411067
-0.024961724,-0.00408473
-0.024960724,-0.00405878
-0.024959724,-0.00403802
-0.024958724,-0.00401727
-0.024957724,-0.00399651
-0.024956724,-0.00397835
-0.024955724,-0.0039576
-0.024954724,-0.00393684
-0.024953724,-0.00391608
-0.024952724,-0.00389273
-0.024951724,-0.00386679
-0.024950724,-0.00384084
-0.024949724,-0.0038123
-0.024948724,-0.00377858
-0.024947724,-0.00374485
-0.024946724,-0.00370593
-0.024945724,-0.00366442
-0.024944724,-0.00361772
-0.024943724,-0.00357102
-0.024942724,-0.00351913
-0.024941724,-0.00346724
-0.024940724,-0.00341275
-0.024939724,-0.00335568
-0.024938724,-0.00330119
-0.024937724,-0.00324671
-0.024936724,-0.00319222
-0.024935724,-0.00314033
-0.024934724,-0.00308844
-0.024933724,-0.00304174
-0.024932724,-0.00299504
-0.024931724,-0.00295353
-0.024930724,-0.00291461
-0.024929724,-0.00287829
-0.024928724,-0.00284456
-0.024927724,-0.00281602
-0.024926724,-0.00279267
-0.024925724,-0.00277192
-0.024924724,-0.00275376
-0.024923724,-0.00274078
-0.024922724,-0.00272781
-0.024921724,-0.00271743
