LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 10:31:40,0                 
Time,Ampl
-0.025000509,-0.00256177
-0.024999509,-0.00257993
-0.024998509,-0.00259809
-0.024997509,-0.00261625
-0.024996509,-0.00263182
-0.024995509,-0.00264479
-0.024994509,-0.00265776
-0.024993509,-0.00267073
-0.024992509,-0.00268111
-0.024991509,-0.00268889
-0.024990509,-0.00269408
-0.024989509,-0.00269927
-0.024988509,-0.00270446
-0.024987509,-0.00270706
-0.024986509,-0.00271225
-0.024985509,-0.00271743
-0.024984509,-0.00272262
-0.024983509,-0.00272781
-0.024982509,-0.0027356
-0.024981509,-0.00274597
-0.024980509,-0.00275635
-0.024979509,-0.00277192
-0.024978509,-0.00278749
-0.024977509,-0.00280565
-0.024976509,-0.0028264
-0.024975509,-0.00285235
-0.024974509,-0.00288089
-0.024973509,-0.00291202
-0.024972509,-0.00294834
-0.024971509,-0.00298985
-0.024970509,-0.00303396
-0.024969509,-0.00308326
-0.024968509,-0.00313774
-0.024967509,-0.00319222
-0.024966509,-0.0032519
-0.024965509,-0.00331416
-0.024964509,-0.00337643
-0.024963509,-0.00344389
-0.024962509,-0.00351394
-0.024961509,-0.00358399
-0.024960509,-0.00365404
-0.024959509,-0.00372669
-0.024958509,-0.00379674
-0.024957509,-0.00386938
-0.024956509,-0.00393684
-0.024955509,-0.0040043
-0.024954509,-0.00406656
-0.024953509,-0.00412883
-0.024952509,-0.00418591
-0.024951509,-0.0042378
-0.024950509,-0.00428709
-0.024949509,-0.0043338
-0.024948509,-0.00437531
-0.024947509,-0.00441163
-0.024946509,-0.00444536
-0.024945509,-0.0044739
-0.024944509,-0.00449725
-0.024943509,-0.004518
-0.024942509,-0.00453357
-0.024941509,-0.00454395
-0.024940509,-0.00455433
-0.024939509,-0.00455952
-0.024938509,-0.00456211
-0.024937509,-0.00456211
-0.024936509,-0.00456211
-0.024935509,-0.00455952
-0.024934509,-0.00455433
-0.024933509,-0.00454914
-0.024932509,-0.00454135
-0.024931509,-0.00453098
-0.024930509,-0.0045206
-0.024929509,-0.00450503
-0.024928509,-0.00449206
-0.024927509,-0.0044739
-0.024926509,-0.00445314
-0.024925509,-0.00442979
-0.024924509,-0.00440125
-0.024923509,-0.00437271
-0.024922509,-0.00433898
-0.024921509,-0.00430007
-0.024920509,-0.00425856
-0.024919509,-0.00421445
-0.024918509,-0.00416256
-0.024917509,-0.00411067
-0.024916509,-0.00405359
-0.024915509,-0.00399132
-0.024914509,-0.00392646
-0.024913509,-0.0038616
-0.024912509,-0.00379155
-0.024911509,-0.0037215
-0.024910509,-0.00365145
-0.024909509,-0.0035788
-0.024908509,-0.00350616
-0.024907509,-0.00343351
-0.024906509,-0.00336346
-0.024905509,-0.00329081
-0.024904509,-0.00322336
-0.024903509,-0.00315331
-0.024902509,-0.00308585
-0.024901509,-0.00302099
-0.024900509,-0.00295872
-0.024899509,-0.00289645
-0.024898509,-0.00283678
-0.024897509,-0.0027797
-0.024896509,-0.00272262
-0.024895509,-0.00266814
-0.024894509,-0.00261365
-0.024893509,-0.00256177
-0.024892509,-0.00250988
-0.024891509,-0.00246058
-0.024890509,-0.00241388
-0.024889509,-0.00236718
-0.024888509,-0.00232048
-0.024887509,-0.00227637
-0.024886509,-0.00223227
