LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 10:46:18,0                 
Time,Ampl
-0.025000211,-0.00322595
-0.024999211,-0.00308844
-0.024998211,-0.0029691
-0.024997211,-0.00286532
-0.024996211,-0.00277192
-0.024995211,-0.00268889
-0.024994211,-0.00261625
-0.024993211,-0.00254879
-0.024992211,-0.00249171
-0.024991211,-0.00243723
-0.024990211,-0.00239053
-0.024989211,-0.00234642
-0.024988211,-0.00230751
-0.024987211,-0.00227378
-0.024986211,-0.00224524
-0.024985211,-0.00221929
-0.024984211,-0.00219594
-0.024983211,-0.00217778
-0.024982211,-0.00215962
-0.024981211,-0.00214665
-0.024980211,-0.00213627
-0.024979211,-0.00212849
-0.024978211,-0.0021207
-0.024977211,-0.00211551
-0.024976211,-0.00211033
-0.024975211,-0.00210514
-0.024974211,-0.00210254
-0.024973211,-0.00209995
-0.024972211,-0.00209995
-0.024971211,-0.00209735
-0.024970211,-0.00209995
-0.024969211,-0.00210254
-0.024968211,-0.00210514
-0.024967211,-0.00211033
-0.024966211,-0.00211551
-0.024965211,-0.00211811
-0.024964211,-0.0021233
-0.024963211,-0.00212849
-0.024962211,-0.00213108
-0.024961211,-0.00213627
-0.024960211,-0.00213886
-0.024959211,-0.00214146
-0.024958211,-0.00214405
-0.024957211,-0.00214665
-0.024956211,-0.00214924
-0.024955211,-0.00215184
-0.024954211,-0.00215184
-0.024953211,-0.00215184
-0.024952211,-0.00214924
-0.024951211,-0.00214665
-0.024950211,-0.00214405
-0.024949211,-0.00213627
-0.024948211,-0.00213108
-0.024947211,-0.0021233
-0.024946211,-0.00211292
-0.024945211,-0.00210514
-0.024944211,-0.00209476
-0.024943211,-0.00208438
-0.024942211,-0.002074
-0.024941211,-0.00206362
-0.024940211,-0.00205065
-0.024939211,-0.00203768
-0.024938211,-0.00202471
-0.024937211,-0.00200914
-0.024936211,-0.00199357
-0.024935211,-0.00197801
-0.024934211,-0.00196503
-0.024933211,-0.00195206
-0.024932211,-0.00193909
-0.024931211,-0.00192871
-0.024930211,-0.00191833
-0.024929211,-0.00191055
-0.024928211,-0.00190536
-0.024927211,-0.00190277
-0.024926211,-0.00189758
-0.024925211,-0.00189758
-0.024924211,-0.00189758
-0.024923211,-0.00190017
-0.024922211,-0.00190277
-0.024921211,-0.00190796
-0.024920211,-0.00191574
-0.024919211,-0.00192352
-0.024918211,-0.0019339
-0.024917211,-0.00194428
-0.024916211,-0.00195466
-0.024915211,-0.00196763
-0.024914211,-0.00197801
-0.024913211,-0.00199098
-0.024912211,-0.00200136
-0.024911211,-0.00201174
-0.024910211,-0.00201952
-0.024909211,-0.0020299
-0.024908211,-0.00203509
-0.024907211,-0.00204027
-0.024906211,-0.00204287
-0.024905211,-0.00204287
-0.024904211,-0.00204027
-0.024903211,-0.00203509
-0.024902211,-0.0020299
-0.024901211,-0.00201952
-0.024900211,-0.00200655
-0.024899211,-0.00199357
-0.024898211,-0.00197801
-0.024897211,-0.00196244
-0.024896211,-0.00194428
-0.024895211,-0.00192352
-0.024894211,-0.00190536
-0.024893211,-0.00188461
-0.024892211,-0.00186644
-0.024891211,-0.00184828
-0.024890211,-0.00183012
-0.024889211,-0.00181455
-0.024888211,-0.00179899
-0.024887211,-0.00178861
-0.024886211,-0.00177823
-0.024885211,-0.00177304
-0.024884211,-0.00176785
-0.024883211,-0.00176526
-0.024882211,-0.00176526
-0.024881211,-0.00176785
-0.024880211,-0.00177304
-0.024879211,-0.00177823
-0.024878211,-0.00178602
-0.024877211,-0.00179639
-0.024876211,-0.00180418
-0.024875211,-0.00181715
-0.024874211,-0.00182753
-0.024873211,-0.0018405
-0.024872211,-0.00185347
-0.024871211,-0.00186644
-0.024870211,-0.00187942
-0.024869211,-0.00189239
-0.024868211,-0.00190536
-0.024867211,-0.00191833
-0.024866211,-0.00192612
-0.024865211,-0.0019365
-0.024864211,-0.00194687
-0.024863211,-0.00195466
-0.024862211,-0.00196503
-0.024861211,-0.00197282
-0.024860211,-0.0019806
-0.024859211,-0.00198839
-0.024858211,-0.00199617
-0.024857211,-0.00200395
-0.024856211,-0.00201174
-0.024855211,-0.00201692
-0.024854211,-0.00202211
-0.024853211,-0.0020299
-0.024852211,-0.00203509
-0.024851211,-0.00204027
-0.024850211,-0.00204287
-0.024849211,-0.00204806
-0.024848211,-0.00205325
-0.024847211,-0.00205844
-0.024846211,-0.00206362
-0.024845211,-0.00206622
-0.024844211,-0.00206622
-0.024843211,-0.00206622
-0.024842211,-0.00206362
-0.024841211,-0.00206103
-0.024840211,-0.00205844
-0.024839211,-0.00205065
-0.024838211,-0.00204546
-0.024837211,-0.00203768
-0.024836211,-0.0020299
-0.024835211,-0.00202211
-0.024834211,-0.00201174
-0.024833211,-0.00200395
-0.024832211,-0.00199357
-0.024831211,-0.00198579
-0.024830211,-0.00197801
-0.024829211,-0.00197022
-0.024828211,-0.00196244
-0.024827211,-0.00195725
-0.024826211,-0.00195466
-0.024825211,-0.00195206
-0.024824211,-0.00194947
-0.024823211,-0.00195206
-0.024822211,-0.00195206
-0.024821211,-0.00195466
-0.024820211,-0.00195985
-0.024819211,-0.00196244
-0.024818211,-0.00196763
-0.024817211,-0.00197022
-0.024816211,-0.00197282
-0.024815211,-0.00197541
-0.024814211,-0.00197801
-0.024813211,-0.00197801
-0.024812211,-0.00197541
-0.024811211,-0.00197022
-0.024810211,-0.00196503
-0.024809211,-0.00195725
-0.024808211,-0.00194687
-0.024807211,-0.0019365
-0.024806211,-0.00192352
-0.024805211,-0.00190796
-0.024804211,-0.00188979
-0.024803211,-0.00187163
-0.024802211,-0.00185347
-0.024801211,-0.00183272
-0.024800211,-0.00181455
-0.024799211,-0.0017938
-0.024798211,-0.00177304
-0.024797211,-0.00175488
-0.024796211,-0.00173413
-0.024795211,-0.00171856
-0.024794211,-0.00170299
-0.024793211,-0.00169002
-0.024792211,-0.00167964
-0.024791211,-0.00166926
-0.024790211,-0.00166148
-0.024789211,-0.0016537
-0.024788211,-0.00164851
-0.024787211,-0.00164591
-0.024786211,-0.00164332
-0.024785211,-0.00164332
-0.024784211,-0.00164332
-0.024783211,-0.00164332
-0.024782211,-0.00164591
-0.024781211,-0.0016511
-0.024780211,-0.0016537
-0.024779211,-0.00165889
-0.024778211,-0.00166667
-0.024777211,-0.00167186
-0.024776211,-0.00167964
-0.024775211,-0.00168743
-0.024774211,-0.00169521
-0.024773211,-0.00170559
-0.024772211,-0.00171337
-0.024771211,-0.00172375
-0.024770211,-0.00173672
-0.024769211,-0.0017471
-0.024768211,-0.00176007
-0.024767211,-0.00177304
-0.024766211,-0.00178861
-0.024765211,-0.00180158
-0.024764211,-0.00181455
-0.024763211,-0.00182753
-0.024762211,-0.00183791
-0.024761211,-0.00184828
-0.024760211,-0.00185607
-0.024759211,-0.00186644
-0.024758211,-0.00187163
-0.024757211,-0.00187682
-0.024756211,-0.00188201
-0.024755211,-0.00188201
-0.024754211,-0.00188201
-0.024753211,-0.00188201
-0.024752211,-0.00187682
-0.024751211,-0.00187163
-0.024750211,-0.00186385
-0.024749211,-0.00185347
-0.024748211,-0.00184569
-0.024747211,-0.00183272
-0.024746211,-0.00181974
-0.024745211,-0.00180677
-0.024744211,-0.0017912
-0.024743211,-0.00177564
-0.024742211,-0.00176007
-0.024741211,-0.0017445
-0.024740211,-0.00172634
-0.024739211,-0.00170818
-0.024738211,-0.00169002
-0.024737211,-0.00167445
-0.024736211,-0.00165629
-0.024735211,-0.00164072
-0.024734211,-0.00162516
-0.024733211,-0.00160959
-0.024732211,-0.00159402
-0.024731211,-0.00158365
-0.024730211,-0.00157327
-0.024729211,-0.00156289
-0.024728211,-0.0015577
-0.024727211,-0.00155251
-0.024726211,-0.00154992
-0.024725211,-0.00155251
-0.024724211,-0.00155251
-0.024723211,-0.0015577
-0.024722211,-0.00156289
-0.024721211,-0.00157067
-0.024720211,-0.00158105
-0.024719211,-0.00159143
-0.024718211,-0.00160181
-0.024717211,-0.00161219
-0.024716211,-0.00162256
-0.024715211,-0.00163554
-0.024714211,-0.00164591
-0.024713211,-0.00165629
-0.024712211,-0.00166407
-0.024711211,-0.00167445
-0.024710211,-0.00167964
-0.024709211,-0.00168483
-0.024708211,-0.00168743
-0.024707211,-0.00169002
-0.024706211,-0.00169002
-0.024705211,-0.00169002
-0.024704211,-0.00168743
-0.024703211,-0.00168483
-0.024702211,-0.00168224
-0.024701211,-0.00167964
-0.024700211,-0.00167705
-0.024699211,-0.00167445
-0.024698211,-0.00167186
-0.024697211,-0.00166926
-0.024696211,-0.00166667
-0.024695211,-0.00166407
-0.024694211,-0.00166407
-0.024693211,-0.00166407
-0.024692211,-0.00166407
-0.024691211,-0.00166667
-0.024690211,-0.00167186
-0.024689211,-0.00167445
-0.024688211,-0.00168224
-0.024687211,-0.00168743
-0.024686211,-0.00169261
-0.024685211,-0.0017004
-0.024684211,-0.00170559
-0.024683211,-0.00171078
-0.024682211,-0.00171596
-0.024681211,-0.00172115
-0.024680211,-0.00172375
-0.024679211,-0.00172634
-0.024678211,-0.00172894
-0.024677211,-0.00173153
-0.024676211,-0.00173153
-0.024675211,-0.00172894
-0.024674211,-0.00172634
-0.024673211,-0.00172115
-0.024672211,-0.00171596
-0.024671211,-0.00170818
-0.024670211,-0.0016978
