LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 10:57:35,0                 
Time,Ampl
-0.02500016,-0.00192871
-0.02499916,-0.00191833
-0.02499816,-0.00190536
-0.02499716,-0.00189239
-0.02499616,-0.00187942
-0.02499516,-0.00186385
-0.02499416,-0.00184828
-0.02499316,-0.00183272
-0.02499216,-0.00181715
-0.02499116,-0.00180158
-0.02499016,-0.00178602
-0.02498916,-0.00177045
-0.02498816,-0.00175488
-0.02498716,-0.00174191
-0.02498616,-0.00173153
-0.02498516,-0.00172375
-0.02498416,-0.00171596
-0.02498316,-0.00171078
-0.02498216,-0.00170818
-0.02498116,-0.00171078
-0.02498016,-0.00171596
-0.02497916,-0.00172375
-0.02497816,-0.00173413
-0.02497716,-0.00174969
-0.02497616,-0.00176785
-0.02497516,-0.00178861
-0.02497416,-0.00180937
-0.02497316,-0.00183531
-0.02497216,-0.00185866
-0.02497116,-0.00188461
-0.02497016,-0.00191055
-0.02496916,-0.00193909
-0.02496816,-0.00196503
-0.02496716,-0.00198839
-0.02496616,-0.00201174
-0.02496516,-0.00203249
-0.02496416,-0.00205065
-0.02496316,-0.00206622
-0.02496216,-0.00207919
-0.02496116,-0.00208957
-0.02496016,-0.00209735
-0.02495916,-0.00209995
-0.02495816,-0.00209995
-0.02495716,-0.00209735
-0.02495616,-0.00209216
-0.02495516,-0.00208698
-0.02495416,-0.0020766
-0.02495316,-0.00206881
-0.02495216,-0.00205584
-0.02495116,-0.00204287
-0.02495016,-0.0020299
-0.02494916,-0.00201433
-0.02494816,-0.00199617
-0.02494716,-0.00197801
-0.02494616,-0.00195725
-0.02494516,-0.0019365
-0.02494416,-0.00191574
-0.02494316,-0.00189498
-0.02494216,-0.00187682
-0.02494116,-0.00185607
-0.02494016,-0.00183791
-0.02493916,-0.00181974
-0.02493816,-0.00180158
-0.02493716,-0.00178602
-0.02493616,-0.00177045
-0.02493516,-0.00175748
-0.02493416,-0.0017445
-0.02493316,-0.00173413
-0.02493216,-0.00172634
-0.02493116,-0.00171856
-0.02493016,-0.00171596
-0.02492916,-0.00171596
-0.02492816,-0.00171596
-0.02492716,-0.00171856
-0.02492616,-0.00172115
-0.02492516,-0.00172634
-0.02492416,-0.00173153
-0.02492316,-0.00173672
-0.02492216,-0.00174191
-0.02492116,-0.00174969
-0.02492016,-0.00175488
-0.02491916,-0.00176267
-0.02491816,-0.00177045
-0.02491716,-0.00177823
-0.02491616,-0.00178602
-0.02491516,-0.0017938
-0.02491416,-0.00180158
-0.02491316,-0.00180937
-0.02491216,-0.00181715
-0.02491116,-0.00182493
-0.02491016,-0.00183531
-0.02490916,-0.00184309
-0.02490816,-0.00185347
-0.02490716,-0.00186126
-0.02490616,-0.00187163
-0.02490516,-0.00188201
-0.02490416,-0.00189498
-0.02490316,-0.00190536
-0.02490216,-0.00191833
-0.02490116,-0.00193131
-0.02490016,-0.00194428
-0.02489916,-0.00195725
-0.02489816,-0.00196763
-0.02489716,-0.0019806
-0.02489616,-0.00198839
-0.02489516,-0.00199876
-0.02489416,-0.00200655
-0.02489316,-0.00201433
-0.02489216,-0.00202211
-0.02489116,-0.0020273
-0.02489016,-0.00203249
-0.02488916,-0.00203768
-0.02488816,-0.00204027
-0.02488716,-0.00204287
-0.02488616,-0.00204546
-0.02488516,-0.00204806
-0.02488416,-0.00204806
-0.02488316,-0.00205065
-0.02488216,-0.00204806
-0.02488116,-0.00204806
-0.02488016,-0.00204806
-0.02487916,-0.00204806
-0.02487816,-0.00204806
-0.02487716,-0.00205065
-0.02487616,-0.00205065
-0.02487516,-0.00205065
-0.02487416,-0.00205325
-0.02487316,-0.00205584
-0.02487216,-0.00205844
-0.02487116,-0.00205844
-0.02487016,-0.00205844
-0.02486916,-0.00205844
-0.02486816,-0.00205844
-0.02486716,-0.00205844
-0.02486616,-0.00205844
-0.02486516,-0.00205584
-0.02486416,-0.00205584
-0.02486316,-0.00205584
-0.02486216,-0.00205584
-0.02486116,-0.00205325
-0.02486016,-0.00205325
-0.02485916,-0.00205325
-0.02485816,-0.00205065
-0.02485716,-0.00205065
-0.02485616,-0.00205065
-0.02485516,-0.00204806
-0.02485416,-0.00204806
-0.02485316,-0.00204806
-0.02485216,-0.00204806
-0.02485116,-0.00205065
-0.02485016,-0.00205325
-0.02484916,-0.00205325
-0.02484816,-0.00205584
-0.02484716,-0.00205584
-0.02484616,-0.00205844
-0.02484516,-0.00205844
-0.02484416,-0.00205844
-0.02484316,-0.00205584
-0.02484216,-0.00205584
-0.02484116,-0.00205584
-0.02484016,-0.00205584
-0.02483916,-0.00205844
-0.02483816,-0.00205844
-0.02483716,-0.00206103
-0.02483616,-0.00206103
-0.02483516,-0.00206362
-0.02483416,-0.00206622
-0.02483316,-0.00206881
-0.02483216,-0.002074
-0.02483116,-0.0020766
-0.02483016,-0.00208179
-0.02482916,-0.00208438
-0.02482816,-0.00208957
-0.02482716,-0.00209476
-0.02482616,-0.00209995
-0.02482516,-0.00210514
-0.02482416,-0.00210773
-0.02482316,-0.00211292
-0.02482216,-0.00211551
-0.02482116,-0.00211811
-0.02482016,-0.00211811
-0.02481916,-0.00211811
-0.02481816,-0.00211551
-0.02481716,-0.00211551
-0.02481616,-0.00211292
-0.02481516,-0.00211292
-0.02481416,-0.00211033
-0.02481316,-0.00211033
-0.02481216,-0.00210773
-0.02481116,-0.00210514
-0.02481016,-0.00210254
-0.02480916,-0.00209995
-0.02480816,-0.00209735
-0.02480716,-0.00209216
-0.02480616,-0.00208698
-0.02480516,-0.00208179
-0.02480416,-0.0020766
-0.02480316,-0.00206881
-0.02480216,-0.00205844
-0.02480116,-0.00205065
-0.02480016,-0.00204027
-0.02479916,-0.0020273
-0.02479816,-0.00201433
-0.02479716,-0.00200136
-0.02479616,-0.00198579
-0.02479516,-0.00196763
-0.02479416,-0.00194947
-0.02479316,-0.00193131
-0.02479216,-0.00191055
-0.02479116,-0.00189239
-0.02479016,-0.00187423
-0.02478916,-0.00185866
-0.02478816,-0.00184309
-0.02478716,-0.00182753
-0.02478616,-0.00181455
-0.02478516,-0.00180418
-0.02478416,-0.0017938
-0.02478316,-0.00178602
-0.02478216,-0.00177823
-0.02478116,-0.00177564
-0.02478016,-0.00177564
-0.02477916,-0.00177564
-0.02477816,-0.00178083
-0.02477716,-0.00178861
-0.02477616,-0.00179899
-0.02477516,-0.00180937
-0.02477416,-0.00182493
-0.02477316,-0.0018405
-0.02477216,-0.00185607
-0.02477116,-0.00187163
-0.02477016,-0.0018872
-0.02476916,-0.00190277
-0.02476816,-0.00192093
-0.02476716,-0.0019365
-0.02476616,-0.00194947
-0.02476516,-0.00196503
-0.02476416,-0.00197801
-0.02476316,-0.00199098
-0.02476216,-0.00200136
-0.02476116,-0.00200914
-0.02476016,-0.00201692
-0.02475916,-0.00201952
-0.02475816,-0.00202211
-0.02475716,-0.00202211
-0.02475616,-0.00201952
-0.02475516,-0.00201692
-0.02475416,-0.00201433
-0.02475316,-0.00201174
-0.02475216,-0.00200655
-0.02475116,-0.00200136
-0.02475016,-0.00199876
-0.02474916,-0.00199357
-0.02474816,-0.00198839
-0.02474716,-0.0019806
-0.02474616,-0.00197541
-0.02474516,-0.00196763
-0.02474416,-0.00195985
-0.02474316,-0.00195466
-0.02474216,-0.00194947
-0.02474116,-0.00194428
-0.02474016,-0.00194168
-0.02473916,-0.00193909
-0.02473816,-0.00193909
-0.02473716,-0.00194168
-0.02473616,-0.00194428
-0.02473516,-0.00194687
-0.02473416,-0.00195206
-0.02473316,-0.00195985
-0.02473216,-0.00196763
-0.02473116,-0.00197801
-0.02473016,-0.00199098
-0.02472916,-0.00200655
-0.02472816,-0.00202211
-0.02472716,-0.00204027
-0.02472616,-0.00205844
-0.02472516,-0.00207919
-0.02472416,-0.00209735
-0.02472316,-0.00211811
-0.02472216,-0.00213627
-0.02472116,-0.00215443
-0.02472016,-0.00217259
-0.02471916,-0.00219075
-0.02471816,-0.00220632
-0.02471716,-0.00222189
-0.02471616,-0.00223486
-0.02471516,-0.00224524
-0.02471416,-0.00225562
-0.02471316,-0.0022634
-0.02471216,-0.00226859
-0.02471116,-0.00227118
-0.02471016,-0.00227118
-0.02470916,-0.00227118
-0.02470816,-0.00226859
-0.02470716,-0.00226599
-0.02470616,-0.00226081
-0.02470516,-0.00225302
-0.02470416,-0.00224524
-0.02470316,-0.00223486
-0.02470216,-0.00222448
-0.02470116,-0.00221151
-0.02470016,-0.00219854
-0.02469916,-0.00218557
-0.02469816,-0.00217259
-0.02469716,-0.00216222
-0.02469616,-0.00214924
-0.02469516,-0.00213627
-0.02469416,-0.00212589
-0.02469316,-0.00211551
-0.02469216,-0.00210514
-0.02469116,-0.00209735
-0.02469016,-0.00208698
-0.02468916,-0.00207919
-0.02468816,-0.00207141
-0.02468716,-0.00206622
-0.02468616,-0.00206103
-0.02468516,-0.00205584
-0.02468416,-0.00205325
-0.02468316,-0.00205065
-0.02468216,-0.00205065
-0.02468116,-0.00205065
-0.02468016,-0.00205065
-0.02467916,-0.00205065
-0.02467816,-0.00205325
-0.02467716,-0.00205325
-0.02467616,-0.00205325
-0.02467516,-0.00205325
-0.02467416,-0.00205325
-0.02467316,-0.00205325
-0.02467216,-0.00205325
-0.02467116,-0.00205325
-0.02467016,-0.00205325
-0.02466916,-0.00205325
-0.02466816,-0.00205065
-0.02466716,-0.00204806
-0.02466616,-0.00204546
-0.02466516,-0.00204287
-0.02466416,-0.00203768
-0.02466316,-0.00203249
-0.02466216,-0.0020273
-0.02466116,-0.00202211
-0.02466016,-0.00201952
-0.02465916,-0.00201433
-0.02465816,-0.00201433
-0.02465716,-0.00201433
-0.02465616,-0.00201692
-0.02465516,-0.00202211
-0.02465416,-0.0020299
-0.02465316,-0.00204027
-0.02465216,-0.00205584
-0.02465116,-0.0020766
-0.02465016,-0.00210254
-0.02464916,-0.00214146
-0.02464816,-0.00219075
-0.02464716,-0.00226081
-0.02464616,-0.00235421
-0.02464516,-0.00248134
-0.02464416,-0.00264479
-0.02464316,-0.00285494
-0.02464216,-0.00312217
-0.02464116,-0.00344908
-0.02464016,-0.00384603
-0.02463916,-0.00432082
-0.02463816,-0.00488123
-0.02463716,-0.00552985
-0.02463616,-0.00627966
-0.02463516,-0.00712805
-0.02463416,-0.00808801
-0.02463316,-0.00915693
-0.02463216,-0.0103322
-0.02463116,-0.0116139
-0.02463016,-0.0129942
-0.02462916,-0.0144601
-0.02462816,-0.0159986
-0.02462716,-0.0175942
-0.02462616,-0.0192287
-0.02462516,-0.020884
-0.02462416,-0.0225367
-0.02462316,-0.0241634
-0.02462216,-0.025746
-0.02462116,-0.0272586
-0.02462016,-0.0286778
-0.02461916,-0.0299854
-0.02461816,-0.0311555
-0.02461716,-0.03217
-0.02461616,-0.0330132
