LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 10:56:48,0                 
Time,Ampl
-0.025000073,-0.00185088
-0.024999073,-0.00183531
-0.024998073,-0.00181715
-0.024997073,-0.00180158
-0.024996073,-0.00178342
-0.024995073,-0.00176526
-0.024994073,-0.0017471
-0.024993073,-0.00172894
-0.024992073,-0.00171337
-0.024991073,-0.0016978
-0.024990073,-0.00168483
-0.024989073,-0.00167445
-0.024988073,-0.00166407
-0.024987073,-0.00165889
-0.024986073,-0.0016537
-0.024985073,-0.00164851
-0.024984073,-0.00164851
-0.024983073,-0.00164851
-0.024982073,-0.00164851
-0.024981073,-0.0016537
-0.024980073,-0.00165889
-0.024979073,-0.00166407
-0.024978073,-0.00167445
-0.024977073,-0.00168483
-0.024976073,-0.0016978
-0.024975073,-0.00171078
-0.024974073,-0.00172634
-0.024973073,-0.00174191
-0.024972073,-0.00175748
-0.024971073,-0.00177304
-0.024970073,-0.00178602
-0.024969073,-0.00179899
-0.024968073,-0.00181196
-0.024967073,-0.00182234
-0.024966073,-0.00183272
-0.024965073,-0.0018405
-0.024964073,-0.00185088
-0.024963073,-0.00185866
-0.024962073,-0.00186644
-0.024961073,-0.00187163
-0.024960073,-0.00187423
-0.024959073,-0.00187942
-0.024958073,-0.00187942
-0.024957073,-0.00188201
-0.024956073,-0.00188201
-0.024955073,-0.00188201
-0.024954073,-0.00187942
-0.024953073,-0.00187942
-0.024952073,-0.00188201
-0.024951073,-0.00188201
-0.024950073,-0.00188461
-0.024949073,-0.00188979
-0.024948073,-0.00189239
-0.024947073,-0.00189498
-0.024946073,-0.00190017
-0.024945073,-0.00190536
-0.024944073,-0.00190796
-0.024943073,-0.00191315
-0.024942073,-0.00191833
-0.024941073,-0.00192352
-0.024940073,-0.00192871
-0.024939073,-0.0019365
-0.024938073,-0.00194428
-0.024937073,-0.00194947
-0.024936073,-0.00195725
-0.024935073,-0.00196244
-0.024934073,-0.00196503
-0.024933073,-0.00196503
-0.024932073,-0.00196763
-0.024931073,-0.00196503
-0.024930073,-0.00196244
-0.024929073,-0.00195725
-0.024928073,-0.00195206
-0.024927073,-0.00194428
-0.024926073,-0.00193909
-0.024925073,-0.00193131
-0.024924073,-0.00192093
-0.024923073,-0.00191055
-0.024922073,-0.00189758
-0.024921073,-0.00188461
-0.024920073,-0.00186904
-0.024919073,-0.00185088
-0.024918073,-0.00183531
-0.024917073,-0.00181455
-0.024916073,-0.00179639
-0.024915073,-0.00177823
-0.024914073,-0.00176007
-0.024913073,-0.00174191
-0.024912073,-0.00172375
-0.024911073,-0.00170559
-0.024910073,-0.00168743
-0.024909073,-0.00166926
-0.024908073,-0.00164851
-0.024907073,-0.00163035
-0.024906073,-0.00161219
-0.024905073,-0.00159143
-0.024904073,-0.00157327
-0.024903073,-0.0015577
-0.024902073,-0.00154213
-0.024901073,-0.00152916
-0.024900073,-0.00151878
-0.024899073,-0.00150841
-0.024898073,-0.00149803
-0.024897073,-0.00149284
-0.024896073,-0.00148765
-0.024895073,-0.00148246
-0.024894073,-0.00147987
-0.024893073,-0.00147987
-0.024892073,-0.00148246
-0.024891073,-0.00148765
-0.024890073,-0.00149284
-0.024889073,-0.00150062
-0.024888073,-0.001511
-0.024887073,-0.00152397
-0.024886073,-0.00153695
-0.024885073,-0.00154992
-0.024884073,-0.00156548
-0.024883073,-0.00157846
-0.024882073,-0.00159402
-0.024881073,-0.00160959
-0.024880073,-0.00162256
-0.024879073,-0.00163554
-0.024878073,-0.00164851
-0.024877073,-0.00166148
-0.024876073,-0.00167186
-0.024875073,-0.00167964
-0.024874073,-0.00169002
-0.024873073,-0.00169521
-0.024872073,-0.0017004
-0.024871073,-0.00170559
-0.024870073,-0.00170818
-0.024869073,-0.00170818
-0.024868073,-0.00171078
-0.024867073,-0.00171078
-0.024866073,-0.00171078
-0.024865073,-0.00170818
-0.024864073,-0.00170818
-0.024863073,-0.00170818
-0.024862073,-0.00171078
-0.024861073,-0.00171337
-0.024860073,-0.00171596
-0.024859073,-0.00171856
-0.024858073,-0.00172375
-0.024857073,-0.00172894
-0.024856073,-0.00173672
-0.024855073,-0.00174191
-0.024854073,-0.0017471
-0.024853073,-0.00175488
