LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 10:52:28,0                 
Time,Ampl
-0.025001,0.0583684
-0.025,0.0583813
-0.024999,0.0583969
-0.024998,0.0584098
-0.024997,0.0584254
-0.024996,0.058441
-0.024995,0.0584539
-0.024994,0.0584695
-0.024993,0.0584824
-0.024992,0.058498
-0.024991,0.0585109
-0.02499,0.0585239
-0.024989,0.0585369
-0.024988,0.0585524
-0.024987,0.0585654
-0.024986,0.0585783
-0.024985,0.0585913
-0.024984,0.0586043
-0.024983,0.0586146
-0.024982,0.0586276
-0.024981,0.0586406
-0.02498,0.0586509
-0.024979,0.0586639
-0.024978,0.0586743
-0.024977,0.0586872
-0.024976,0.0586976
-0.024975,0.0587105
-0.024974,0.0587235
-0.024973,0.0587339
-0.024972,0.0587468
-0.024971,0.0587598
-0.02497,0.0587728
-0.024969,0.0587857
-0.024968,0.0587987
-0.024967,0.0588116
-0.024966,0.0588246
-0.024965,0.0588376
-0.024964,0.0588505
-0.024963,0.0588661
-0.024962,0.058879
-0.024961,0.0588946
-0.02496,0.0589075
-0.024959,0.0589231
-0.024958,0.0589361
-0.024957,0.058949
-0.024956,0.058962
-0.024955,0.0589775
-0.024954,0.0589905
-0.024953,0.0590009
-0.024952,0.0590138
-0.024951,0.0590268
-0.02495,0.0590397
-0.024949,0.0590501
-0.024948,0.0590605
-0.024947,0.0590734
-0.024946,0.0590838
-0.024945,0.0590942
-0.024944,0.0591046
-0.024943,0.0591149
-0.024942,0.0591253
-0.024941,0.0591357
-0.02494,0.0591486
-0.024939,0.059159
-0.024938,0.059172
-0.024937,0.0591823
-0.024936,0.0591953
-0.024935,0.0592056
-0.024934,0.0592186
-0.024933,0.0592316
-0.024932,0.0592445
-0.024931,0.0592575
-0.02493,0.0592705
-0.024929,0.0592834
-0.024928,0.059299
-0.024927,0.0593119
-0.024926,0.0593249
-0.024925,0.0593379
-0.024924,0.0593508
-0.024923,0.0593638
-0.024922,0.0593767
-0.024921,0.0593897
-0.02492,0.0594027
-0.024919,0.059413
-0.024918,0.0594234
-0.024917,0.0594364
-0.024916,0.0594467
-0.024915,0.0594571
-0.024914,0.0594675
-0.024913,0.0594752
-0.024912,0.0594856
-0.024911,0.059496
-0.02491,0.0595038
-0.024909,0.0595115
-0.024908,0.0595219
-0.024907,0.0595297
-0.024906,0.05954
-0.024905,0.0595478
-0.024904,0.0595556
-0.024903,0.059566
-0.024902,0.0595737
-0.024901,0.0595815
-0.0249,0.0595919
-0.024899,0.0595997
-0.024898,0.05961
-0.024897,0.0596204
-0.024896,0.0596308
-0.024895,0.0596385
-0.024894,0.0596489
-0.024893,0.0596593
-0.024892,0.0596697
-0.024891,0.0596774
-0.02489,0.0596878
-0.024889,0.0596982
-0.024888,0.0597085
-0.024887,0.0597189
-0.024886,0.0597293
-0.024885,0.0597396
-0.024884,0.05975
-0.024883,0.0597578
-0.024882,0.0597682
-0.024881,0.0597785
-0.02488,0.0597889
-0.024879,0.0597967
-0.024878,0.059807
-0.024877,0.0598174
-0.024876,0.0598252
-0.024875,0.0598356
-0.024874,0.0598433
-0.024873,0.0598537
-0.024872,0.0598641
-0.024871,0.0598718
-0.02487,0.0598822
-0.024869,0.05989
-0.024868,0.0599004
-0.024867,0.0599081
-0.024866,0.0599185
-0.024865,0.0599263
-0.024864,0.0599366
-0.024863,0.059947
-0.024862,0.0599548
-0.024861,0.0599652
-0.02486,0.0599755
-0.024859,0.0599833
-0.024858,0.0599937
-0.024857,0.0600015
-0.024856,0.0600118
-0.024855,0.0600222
-0.024854,0.06003
-0.024853,0.0600403
-0.024852,0.0600481
-0.024851,0.0600585
-0.02485,0.0600688
-0.024849,0.0600766
-0.024848,0.060087
-0.024847,0.0600948
-0.024846,0.0601051
-0.024845,0.0601155
-0.024844,0.0601233
-0.024843,0.0601337
-0.024842,0.060144
-0.024841,0.0601544
-0.02484,0.0601622
-0.024839,0.0601725
-0.024838,0.0601829
-0.024837,0.0601907
-0.024836,0.0602011
-0.024835,0.0602114
-0.024834,0.0602218
-0.024833,0.0602296
-0.024832,0.0602399
-0.024831,0.0602477
-0.02483,0.0602581
-0.024829,0.0602659
-0.024828,0.0602736
-0.024827,0.060284
-0.024826,0.0602918
-0.024825,0.0602996
-0.024824,0.0603073
-0.024823,0.0603151
-0.024822,0.0603229
-0.024821,0.0603307
-0.02482,0.0603384
-0.024819,0.0603462
-0.024818,0.060354
-0.024817,0.0603644
-0.024816,0.0603721
-0.024815,0.0603799
-0.024814,0.0603903
-0.024813,0.0603981
-0.024812,0.0604084
-0.024811,0.0604162
-0.02481,0.0604266
-0.024809,0.0604369
-0.024808,0.0604473
-0.024807,0.0604551
-0.024806,0.0604655
-0.024805,0.0604758
-0.024804,0.0604862
-0.024803,0.060494
-0.024802,0.0605043
-0.024801,0.0605121
-0.0248,0.0605225
-0.024799,0.0605303
-0.024798,0.060538
-0.024797,0.0605432
-0.024796,0.060551
-0.024795,0.0605588
-0.024794,0.060564
-0.024793,0.0605691
-0.024792,0.0605743
-0.024791,0.0605795
-0.02479,0.0605847
-0.024789,0.0605873
-0.024788,0.0605925
-0.024787,0.0605951
-0.024786,0.0606002
-0.024785,0.0606028
-0.024784,0.060608
-0.024783,0.0606106
-0.024782,0.0606158
-0.024781,0.060621
-0.02478,0.0606262
-0.024779,0.0606314
-0.024778,0.0606365
-0.024777,0.0606417
-0.024776,0.0606495
-0.024775,0.0606547
-0.024774,0.0606599
-0.024773,0.0606676
-0.024772,0.0606728
-0.024771,0.0606806
-0.02477,0.0606858
-0.024769,0.060691
-0.024768,0.0606988
-0.024767,0.0607039
-0.024766,0.0607117
-0.024765,0.0607169
-0.024764,0.0607221
-0.024763,0.0607273
-0.024762,0.0607325
-0.024761,0.0607376
-0.02476,0.0607428
-0.024759,0.060748
-0.024758,0.0607532
-0.024757,0.0607584
-0.024756,0.0607636
-0.024755,0.0607687
-0.024754,0.0607765
-0.024753,0.0607817
-0.024752,0.0607869
-0.024751,0.0607921
-0.02475,0.0607998
-0.024749,0.060805
-0.024748,0.0608128
-0.024747,0.060818
-0.024746,0.0608258
-0.024745,0.060831
-0.024744,0.0608387
-0.024743,0.0608439
-0.024742,0.0608517
-0.024741,0.0608569
-0.02474,0.0608621
-0.024739,0.0608698
-0.024738,0.060875
-0.024737,0.0608776
-0.024736,0.0608828
-0.024735,0.060888
-0.024734,0.0608906
-0.024733,0.0608932
-0.024732,0.0608958
-0.024731,0.0608984
-0.02473,0.0609009
-0.024729,0.0609035
-0.024728,0.0609061
-0.024727,0.0609087
-0.024726,0.0609113
-0.024725,0.0609139
-0.024724,0.0609165
-0.024723,0.0609165
-0.024722,0.0609191
-0.024721,0.0609217
-0.02472,0.0609269
-0.024719,0.0609295
-0.024718,0.060932
-0.024717,0.0609346
-0.024716,0.0609398
-0.024715,0.0609424
-0.024714,0.0609476
-0.024713,0.0609502
-0.024712,0.0609554
-0.024711,0.060958
-0.02471,0.0609632
-0.024709,0.0609683
-0.024708,0.0609709
-0.024707,0.0609761
-0.024706,0.0609787
-0.024705,0.0609839
-0.024704,0.0609865
-0.024703,0.0609891
-0.024702,0.0609943
-0.024701,0.0609969
-0.0247,0.0609994
-0.024699,0.0610046
-0.024698,0.0610072
-0.024697,0.0610098
-0.024696,0.0610124
-0.024695,0.061015
-0.024694,0.0610176
-0.024693,0.0610202
-0.024692,0.0610228
-0.024691,0.0610228
-0.02469,0.0610254
-0.024689,0.061028
-0.024688,0.061028
-0.024687,0.061028
-0.024686,0.0610306
-0.024685,0.0610306
-0.024684,0.0610306
-0.024683,0.0610306
-0.024682,0.0610306
-0.024681,0.0610306
-0.02468,0.0610306
-0.024679,0.0610306
-0.024678,0.061028
-0.024677,0.061028
-0.024676,0.061028
-0.024675,0.0610254
-0.024674,0.0610254
-0.024673,0.0610254
-0.024672,0.0610228
-0.024671,0.0610228
-0.02467,0.0610228
-0.024669,0.0610228
-0.024668,0.0610228
-0.024667,0.0610228
-0.024666,0.0610228
-0.024665,0.0610228
-0.024664,0.0610254
-0.024663,0.0610254
-0.024662,0.061028
-0.024661,0.0610306
-0.02466,0.0610306
-0.024659,0.0610331
-0.024658,0.0610357
-0.024657,0.0610383
-0.024656,0.0610409
-0.024655,0.0610409
-0.024654,0.0610435
-0.024653,0.0610435
-0.024652,0.0610461
-0.024651,0.0610461
-0.02465,0.0610461
-0.024649,0.0610461
-0.024648,0.0610461
-0.024647,0.0610435
-0.024646,0.0610435
-0.024645,0.0610409
-0.024644,0.0610383
-0.024643,0.0610357
-0.024642,0.0610331
-0.024641,0.0610306
-0.02464,0.061028
-0.024639,0.0610228
-0.024638,0.0610202
-0.024637,0.0610176
-0.024636,0.0610124
-0.024635,0.0610098
-0.024634,0.0610072
-0.024633,0.0610046
-0.024632,0.061002
-0.024631,0.0609994
-0.02463,0.0609969
-0.024629,0.0609943
-0.024628,0.0609943
-0.024627,0.0609917
-0.024626,0.0609917
-0.024625,0.0609891
-0.024624,0.0609891
-0.024623,0.0609891
-0.024622,0.0609891
-0.024621,0.0609865
-0.02462,0.0609865
-0.024619,0.0609865
-0.024618,0.0609865
-0.024617,0.0609839
-0.024616,0.0609839
-0.024615,0.0609813
-0.024614,0.0609813
-0.024613,0.0609787
-0.024612,0.0609787
-0.024611,0.0609761
-0.02461,0.0609735
-0.024609,0.0609709
-0.024608,0.0609683
-0.024607,0.0609657
-0.024606,0.0609632
-0.024605,0.0609606
-0.024604,0.060958
-0.024603,0.0609554
-0.024602,0.0609502
-0.024601,0.0609476
-0.0246,0.060945
-0.024599,0.0609398
-0.024598,0.0609372
-0.024597,0.060932
-0.024596,0.0609269
-0.024595,0.0609217
-0.024594,0.0609191
-0.024593,0.0609139
-0.024592,0.0609087
-0.024591,0.0609035
-0.02459,0.0608984
-0.024589,0.0608932
-0.024588,0.060888
-0.024587,0.0608802
-0.024586,0.060875
-0.024585,0.0608698
-0.024584,0.0608647
-0.024583,0.0608595
-0.024582,0.0608517
-0.024581,0.0608465
-0.02458,0.0608413
-0.024579,0.0608361
-0.024578,0.060831
-0.024577,0.0608258
-0.024576,0.0608206
-0.024575,0.060818
-0.024574,0.0608128
-0.024573,0.0608076
-0.024572,0.060805
-0.024571,0.0607998
-0.02457,0.0607973
-0.024569,0.0607921
-0.024568,0.0607895
-0.024567,0.0607843
-0.024566,0.0607817
-0.024565,0.0607791
-0.024564,0.0607739
-0.024563,0.0607713
-0.024562,0.0607661
-0.024561,0.0607636
-0.02456,0.060761
-0.024559,0.0607558
-0.024558,0.0607532
-0.024557,0.060748
-0.024556,0.0607428
-0.024555,0.0607402
-0.024554,0.060735
-0.024553,0.0607299
-0.024552,0.0607247
-0.024551,0.0607195
-0.02455,0.0607143
-0.024549,0.0607091
-0.024548,0.0607039
-0.024547,0.0606988
-0.024546,0.060691
-0.024545,0.0606858
-0.024544,0.0606806
-0.024543,0.0606728
-0.024542,0.0606676
-0.024541,0.0606599
-0.02454,0.0606521
-0.024539,0.0606469
-0.024538,0.0606391
-0.024537,0.0606339
-0.024536,0.0606262
-0.024535,0.0606184
-0.024534,0.0606132
-0.024533,0.0606054
-0.024532,0.0605977
-0.024531,0.0605925
-0.02453,0.0605847
-0.024529,0.0605769
-0.024528,0.0605717
-0.024527,0.060564
-0.024526,0.0605562
-0.024525,0.060551
-0.024524,0.0605432
-0.024523,0.0605354
-0.024522,0.0605303
-0.024521,0.0605225
-0.02452,0.0605147
-0.024519,0.0605095
-0.024518,0.0605017
-0.024517,0.060494
-0.024516,0.0604862
-0.024515,0.0604784
-0.024514,0.0604706
-0.024513,0.0604629
-0.024512,0.0604577
-0.024511,0.0604499
-0.02451,0.0604421
-0.024509,0.0604343
-0.024508,0.060424
-0.024507,0.0604162
-0.024506,0.0604084
-0.024505,0.0604006
-0.024504,0.0603903
-0.024503,0.0603825
-0.024502,0.0603721
-0.024501,0.0603644
-0.0245,0.060354
-0.024499,0.0603462
-0.024498,0.0603358
-0.024497,0.0603255
-0.024496,0.0603151
-0.024495,0.0603047
-0.024494,0.0602944
-0.024493,0.060284
-0.024492,0.0602736
-0.024491,0.0602633
-0.02449,0.0602529
-0.024489,0.0602425
-0.024488,0.0602322
-0.024487,0.0602218
-0.024486,0.0602114
-0.024485,0.0602011
-0.024484,0.0601907
-0.024483,0.0601803
-0.024482,0.0601699
-0.024481,0.0601622
-0.02448,0.0601518
-0.024479,0.0601414
-0.024478,0.0601311
-0.024477,0.0601207
-0.024476,0.0601129
-0.024475,0.0601025
-0.024474,0.0600922
-0.024473,0.0600818
-0.024472,0.0600714
-0.024471,0.0600637
-0.02447,0.0600533
-0.024469,0.0600429
-0.024468,0.0600326
-0.024467,0.0600222
-0.024466,0.0600118
-0.024465,0.0600015
-0.024464,0.0599911
-0.024463,0.0599781
-0.024462,0.0599678
-0.024461,0.0599548
-0.02446,0.0599444
-0.024459,0.0599315
-0.024458,0.0599185
-0.024457,0.0599055
-0.024456,0.0598926
-0.024455,0.0598796
-0.024454,0.0598641
-0.024453,0.0598511
-0.024452,0.0598381
-0.024451,0.0598226
-0.02445,0.059807
-0.024449,0.0597941
-0.024448,0.0597785
-0.024447,0.059763
-0.024446,0.0597474
-0.024445,0.0597319
-0.024444,0.0597163
-0.024443,0.0597008
-0.024442,0.0596852
-0.024441,0.0596697
-0.02444,0.0596541
-0.024439,0.0596411
-0.024438,0.0596256
-0.024437,0.05961
-0.024436,0.0595971
-0.024435,0.0595815
-0.024434,0.0595686
-0.024433,0.059553
-0.024432,0.05954
-0.024431,0.0595245
-0.02443,0.0595115
-0.024429,0.0594986
-0.024428,0.0594856
-0.024427,0.0594726
-0.024426,0.0594597
-0.024425,0.0594467
-0.024424,0.0594338
-0.024423,0.0594208
-0.024422,0.0594078
-0.024421,0.0593949
-0.02442,0.0593819
-0.024419,0.059369
-0.024418,0.059356
-0.024417,0.059343
-0.024416,0.0593301
-0.024415,0.0593171
-0.024414,0.0593042
-0.024413,0.0592912
-0.024412,0.0592782
-0.024411,0.0592653
-0.02441,0.0592497
-0.024409,0.0592368
-0.024408,0.0592212
-0.024407,0.0592082
-0.024406,0.0591927
-0.024405,0.0591771
-0.024404,0.0591616
-0.024403,0.059146
-0.024402,0.0591279
-0.024401,0.0591123
-0.0244,0.0590942
-0.024399,0.059076
-0.024398,0.0590579
-0.024397,0.0590372
-0.024396,0.059019
-0.024395,0.0589983
-0.024394,0.0589775
-0.024393,0.0589568
-0.024392,0.0589361
-0.024391,0.0589127
-0.02439,0.058892
-0.024389,0.0588687
-0.024388,0.0588479
-0.024387,0.0588246
-0.024386,0.0588039
-0.024385,0.0587805
-0.024384,0.0587598
-0.024383,0.0587365
-0.024382,0.0587131
-0.024381,0.0586924
-0.02438,0.0586691
-0.024379,0.0586483
-0.024378,0.0586276
-0.024377,0.0586069
-0.024376,0.0585861
-0.024375,0.0585654
-0.024374,0.0585446
-0.024373,0.0585239
-0.024372,0.0585032
-0.024371,0.0584824
-0.02437,0.0584643
-0.024369,0.0584435
-0.024368,0.0584254
-0.024367,0.0584047
-0.024366,0.0583839
-0.024365,0.0583658
-0.024364,0.058345
-0.024363,0.0583243
-0.024362,0.0583062
-0.024361,0.0582854
-0.02436,0.0582647
-0.024359,0.0582439
-0.024358,0.0582206
-0.024357,0.0581999
-0.024356,0.0581791
-0.024355,0.0581558
-0.024354,0.0581351
-0.024353,0.0581117
-0.024352,0.0580884
-0.024351,0.0580651
-0.02435,0.0580418
-0.024349,0.0580184
-0.024348,0.0579951
-0.024347,0.0579718
-0.024346,0.0579484
-0.024345,0.0579251
-0.024344,0.0578992
-0.024343,0.0578759
-0.024342,0.0578525
-0.024341,0.0578292
-0.02434,0.0578059
-0.024339,0.0577825
-0.024338,0.0577592
-0.024337,0.0577333
-0.024336,0.05771
-0.024335,0.0576866
-0.024334,0.0576633
-0.024333,0.05764
-0.024332,0.057614
-0.024331,0.0575907
-0.02433,0.0575674
-0.024329,0.0575415
-0.024328,0.0575155
-0.024327,0.0574896
-0.024326,0.0574663
-0.024325,0.0574378
-0.024324,0.0574119
-0.024323,0.0573859
-0.024322,0.0573574
-0.024321,0.0573315
-0.02432,0.057303
-0.024319,0.0572745
-0.024318,0.057246
-0.024317,0.0572174
-0.024316,0.0571889
-0.024315,0.0571604
-0.024314,0.0571293
-0.024313,0.0571008
-0.024312,0.0570697
-0.024311,0.0570386
-0.02431,0.0570101
-0.024309,0.056979
-0.024308,0.0569479
-0.024307,0.0569167
-0.024306,0.0568856
-0.024305,0.0568545
-0.024304,0.0568234
-0.024303,0.0567949
-0.024302,0.0567638
-0.024301,0.0567327
-0.0243,0.0567016
