LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:52:51,0                 
Time,Ampl
-0.02500024,-0.00229453
-0.02499924,-0.00231788
-0.02499824,-0.00236718
-0.02499724,-0.00244242
-0.02499624,-0.00254879
-0.02499524,-0.00269149
-0.02499424,-0.0028731
-0.02499324,-0.00309882
-0.02499224,-0.00336605
-0.02499124,-0.00367739
-0.02499024,-0.00403543
-0.02498924,-0.00443757
-0.02498824,-0.00488383
-0.02498724,-0.00537159
-0.02498624,-0.00589308
-0.02498524,-0.0064483
-0.02498424,-0.00702946
-0.02498324,-0.00762879
-0.02498224,-0.00824108
-0.02498124,-0.00885338
-0.02498024,-0.00946049
-0.02497924,-0.0100494
-0.02497824,-0.010615
-0.02497724,-0.0111417
-0.02497624,-0.0116243
-0.02497524,-0.012055
-0.02497424,-0.012426
-0.02497324,-0.0127295
-0.02497224,-0.0129604
-0.02497124,-0.0131135
-0.02497024,-0.0131914
-0.02496924,-0.0131888
-0.02496824,-0.0131057
-0.02496724,-0.0129475
-0.02496624,-0.0127166
-0.02496524,-0.0124156
-0.02496424,-0.0120524
-0.02496324,-0.0116347
-0.02496224,-0.0111703
-0.02496124,-0.0106669
-0.02496024,-0.0101351
-0.02495924,-0.00958243
-0.02495824,-0.00901683
-0.02495724,-0.00844605
-0.02495624,-0.00787786
-0.02495524,-0.00732264
-0.02495424,-0.00678558
-0.02495324,-0.00626928
-0.02495224,-0.00578152
-0.02495124,-0.00532489
-0.02495024,-0.00490199
-0.02494924,-0.00451541
-0.02494824,-0.00416515
-0.02494724,-0.00384863
-0.02494624,-0.00357102
-0.02494524,-0.00332714
-0.02494424,-0.00311439
-0.02494324,-0.00293537
-0.02494224,-0.0027823
-0.02494124,-0.00265257
-0.02494024,-0.00254879
-0.02493924,-0.00246577
-0.02493824,-0.00240091
-0.02493724,-0.00234902
-0.02493624,-0.0023101
-0.02493524,-0.00228416
-0.02493424,-0.0022634
-0.02493324,-0.00225302
-0.02493224,-0.00224524
-0.02493124,-0.00224264
-0.02493024,-0.00224264
-0.02492924,-0.00224264
-0.02492824,-0.00224524
-0.02492724,-0.00224524
-0.02492624,-0.00224524
-0.02492524,-0.00224524
-0.02492424,-0.00224005
-0.02492324,-0.00223486
-0.02492224,-0.00222448
-0.02492124,-0.0022141
-0.02492024,-0.00220113
-0.02491924,-0.00218297
-0.02491824,-0.00216481
-0.02491724,-0.00214405
-0.02491624,-0.0021233
-0.02491524,-0.00209995
-0.02491424,-0.00207919
-0.02491324,-0.00205584
-0.02491224,-0.00203249
-0.02491124,-0.00201174
-0.02491024,-0.00199357
-0.02490924,-0.00197541
-0.02490824,-0.00196244
-0.02490724,-0.00195466
-0.02490624,-0.00194947
-0.02490524,-0.00195206
-0.02490424,-0.00195985
-0.02490324,-0.00197801
-0.02490224,-0.00200655
-0.02490124,-0.00204806
-0.02490024,-0.00209995
-0.02489924,-0.00217
-0.02489824,-0.00225043
-0.02489724,-0.00234902
-0.02489624,-0.00246317
-0.02489524,-0.00259549
-0.02489424,-0.00274338
-0.02489324,-0.00290683
-0.02489224,-0.00308585
-0.02489124,-0.00328044
-0.02489024,-0.00348799
-0.02488924,-0.00370593
-0.02488824,-0.00393165
-0.02488724,-0.00415997
-0.02488624,-0.00439347
-0.02488524,-0.00462178
-0.02488424,-0.0048475
-0.02488324,-0.00506284
-0.02488224,-0.00526521
-0.02488124,-0.00545202
-0.02488024,-0.00561806
-0.02487924,-0.00576335
-0.02487824,-0.00588011
-0.02487724,-0.00597091
-0.02487624,-0.00603318
-0.02487524,-0.00606431
-0.02487424,-0.00606431
-0.02487324,-0.00603318
-0.02487224,-0.00597351
-0.02487124,-0.0058827
-0.02487024,-0.00576595
-0.02486924,-0.00562325
-0.02486824,-0.0054598
-0.02486724,-0.00527819
-0.02486624,-0.00507841
-0.02486524,-0.00486826
-0.02486424,-0.00465032
-0.02486324,-0.0044272
-0.02486224,-0.00420407
-0.02486124,-0.00398354
-0.02486024,-0.00377079
-0.02485924,-0.00356583
-0.02485824,-0.00337384
-0.02485724,-0.00319482
-0.02485624,-0.00303396
-0.02485524,-0.00289386
-0.02485424,-0.00277192
-0.02485324,-0.00267333
-0.02485224,-0.00259549
-0.02485124,-0.0025436
-0.02485024,-0.00251247
-0.02484924,-0.00250469
-0.02484824,-0.00252025
-0.02484724,-0.00255658
-0.02484624,-0.00261106
-0.02484524,-0.0026863
-0.02484424,-0.00277711
-0.02484324,-0.00288089
-0.02484224,-0.00299764
-0.02484124,-0.00312477
-0.02484024,-0.00325709
-0.02483924,-0.00339459
-0.02483824,-0.0035347
-0.02483724,-0.0036748
-0.02483624,-0.00380971
-0.02483524,-0.00393943
-0.02483424,-0.00405878
-0.02483324,-0.00416775
-0.02483224,-0.00426374
-0.02483124,-0.00434417
-0.02483024,-0.00440904
-0.02482924,-0.00445314
-0.02482824,-0.00447649
-0.02482724,-0.00448168
-0.02482624,-0.00446611
-0.02482524,-0.00442979
-0.02482424,-0.00437531
-0.02482324,-0.00430526
-0.02482224,-0.00421445
-0.02482124,-0.00411067
-0.02482024,-0.00399392
-0.02481924,-0.00386679
-0.02481824,-0.00372928
-0.02481724,-0.00358659
-0.02481624,-0.00344129
-0.02481524,-0.00329341
-0.02481424,-0.00314812
-0.02481324,-0.00300542
-0.02481224,-0.00286791
-0.02481124,-0.00273819
-0.02481024,-0.00261365
-0.02480924,-0.0024969
-0.02480824,-0.00239312
-0.02480724,-0.00229713
-0.02480624,-0.00221151
-0.02480524,-0.00213627
-0.02480424,-0.00207141
-0.02480324,-0.00201692
-0.02480224,-0.00197022
-0.02480124,-0.0019339
-0.02480024,-0.00190277
-0.02479924,-0.00187942
-0.02479824,-0.00186385
-0.02479724,-0.00185088
-0.02479624,-0.0018405
-0.02479524,-0.00183531
-0.02479424,-0.00183012
-0.02479324,-0.00182753
-0.02479224,-0.00182753
-0.02479124,-0.00183012
-0.02479024,-0.00183012
-0.02478924,-0.00183012
-0.02478824,-0.00183012
-0.02478724,-0.00182753
-0.02478624,-0.00182493
-0.02478524,-0.00181974
-0.02478424,-0.00181455
-0.02478324,-0.00180937
-0.02478224,-0.00180158
-0.02478124,-0.0017938
-0.02478024,-0.00178602
-0.02477924,-0.00177823
-0.02477824,-0.00176785
-0.02477724,-0.00175748
-0.02477624,-0.00174969
-0.02477524,-0.00173931
-0.02477424,-0.00172894
-0.02477324,-0.00171856
-0.02477224,-0.00170818
-0.02477124,-0.0016978
-0.02477024,-0.00168743
-0.02476924,-0.00167964
-0.02476824,-0.00167186
-0.02476724,-0.00166667
-0.02476624,-0.00166407
-0.02476524,-0.00166148
-0.02476424,-0.00166148
-0.02476324,-0.00166407
-0.02476224,-0.00167186
-0.02476124,-0.00167964
-0.02476024,-0.00169261
-0.02475924,-0.00171078
-0.02475824,-0.00173413
-0.02475724,-0.00176267
-0.02475624,-0.00179639
-0.02475524,-0.00183531
-0.02475424,-0.00187942
-0.02475324,-0.00193131
-0.02475224,-0.0019832
-0.02475124,-0.00204287
-0.02475024,-0.00210254
-0.02474924,-0.0021674
-0.02474824,-0.00223227
-0.02474724,-0.00229713
-0.02474624,-0.00236199
-0.02474524,-0.00242685
-0.02474424,-0.00248912
-0.02474324,-0.00254879
-0.02474224,-0.00260068
-0.02474124,-0.00264738
-0.02474024,-0.0026863
-0.02473924,-0.00272003
-0.02473824,-0.00274338
-0.02473724,-0.00275635
-0.02473624,-0.00276413
-0.02473524,-0.00276154
-0.02473424,-0.00275116
-0.02473324,-0.00273041
-0.02473224,-0.00270446
-0.02473124,-0.00267333
-0.02473024,-0.00263441
-0.02472924,-0.00258771
-0.02472824,-0.00253841
-0.02472724,-0.00248653
-0.02472624,-0.00243204
-0.02472524,-0.00237496
-0.02472424,-0.00232048
-0.02472324,-0.00226859
-0.02472224,-0.0022167
-0.02472124,-0.00217259
-0.02472024,-0.00213108
-0.02471924,-0.00209735
-0.02471824,-0.00207141
-0.02471724,-0.00205325
-0.02471624,-0.00204027
-0.02471524,-0.00203768
-0.02471424,-0.00204027
-0.02471324,-0.00205584
-0.02471224,-0.0020766
-0.02471124,-0.00210514
-0.02471024,-0.00214405
-0.02470924,-0.00218816
-0.02470824,-0.00223746
-0.02470724,-0.00229453
-0.02470624,-0.00235421
-0.02470524,-0.00241647
-0.02470424,-0.00247874
-0.02470324,-0.0025436
-0.02470224,-0.00260328
-0.02470124,-0.00266295
-0.02470024,-0.00272003
-0.02469924,-0.00277192
-0.02469824,-0.00281862
-0.02469724,-0.00285754
-0.02469624,-0.00289126
-0.02469524,-0.00291721
-0.02469424,-0.00293537
-0.02469324,-0.00294315
-0.02469224,-0.00294315
-0.02469124,-0.00293537
-0.02469024,-0.00291721
-0.02468924,-0.00289386
-0.02468824,-0.00286013
-0.02468724,-0.00282121
-0.02468624,-0.00277711
-0.02468524,-0.00272522
-0.02468424,-0.00267073
-0.02468324,-0.00261106
-0.02468224,-0.00255139
-0.02468124,-0.00248653
-0.02468024,-0.00242166
-0.02467924,-0.0023568
-0.02467824,-0.00228934
-0.02467724,-0.00222448
-0.02467624,-0.00216222
-0.02467524,-0.00210254
-0.02467424,-0.00204806
-0.02467324,-0.00199617
-0.02467224,-0.00194687
-0.02467124,-0.00190277
-0.02467024,-0.00186385
-0.02466924,-0.00183012
-0.02466824,-0.00179899
-0.02466724,-0.00177304
-0.02466624,-0.00175229
-0.02466524,-0.00173672
-0.02466424,-0.00172634
-0.02466324,-0.00172115
-0.02466224,-0.00171856
-0.02466124,-0.00172115
-0.02466024,-0.00172894
-0.02465924,-0.00173931
-0.02465824,-0.00174969
-0.02465724,-0.00176526
-0.02465624,-0.00178342
-0.02465524,-0.00179899
-0.02465424,-0.00181715
-0.02465324,-0.00183272
-0.02465224,-0.00185088
-0.02465124,-0.00186644
-0.02465024,-0.00188201
-0.02464924,-0.00189239
-0.02464824,-0.00190277
-0.02464724,-0.00190796
-0.02464624,-0.00191055
-0.02464524,-0.00191055
-0.02464424,-0.00190277
-0.02464324,-0.00189498
-0.02464224,-0.00188201
-0.02464124,-0.00186644
-0.02464024,-0.00184828
-0.02463924,-0.00183012
-0.02463824,-0.00180937
-0.02463724,-0.00178861
-0.02463624,-0.00177045
-0.02463524,-0.00175488
-0.02463424,-0.0017445
-0.02463324,-0.00173931
-0.02463224,-0.00173931
-0.02463124,-0.00174969
-0.02463024,-0.00177045
-0.02462924,-0.00180418
-0.02462824,-0.00185088
-0.02462724,-0.00191315
-0.02462624,-0.00199098
-0.02462524,-0.00208438
-0.02462424,-0.00219854
-0.02462324,-0.00232826
-0.02462224,-0.00247615
-0.02462124,-0.0026396
-0.02462024,-0.00282121
-0.02461924,-0.00301839
-0.02461824,-0.00322855
-0.02461724,-0.00345167
-0.02461624,-0.00368258
-0.02461524,-0.00392127
-0.02461424,-0.00416256
-0.02461324,-0.00440644
-0.02461224,-0.00464773
-0.02461124,-0.00488123
