LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 12:45:43,0                 
Time,Ampl
-0.025000937,-0.0017912
-0.024999937,-0.00177045
-0.024998937,-0.00174969
-0.024997937,-0.00173153
-0.024996937,-0.00171337
-0.024995937,-0.0017004
-0.024994937,-0.00168483
-0.024993937,-0.00167445
-0.024992937,-0.00166667
-0.024991937,-0.00165889
-0.024990937,-0.00165629
-0.024989937,-0.0016537
-0.024988937,-0.0016537
-0.024987937,-0.00165629
-0.024986937,-0.00165889
-0.024985937,-0.00166407
-0.024984937,-0.00166926
-0.024983937,-0.00167705
-0.024982937,-0.00168483
-0.024981937,-0.00169261
-0.024980937,-0.00170299
-0.024979937,-0.00171337
-0.024978937,-0.00172375
-0.024977937,-0.00173413
-0.024976937,-0.0017445
-0.024975937,-0.00175488
-0.024974937,-0.00176526
-0.024973937,-0.00177564
-0.024972937,-0.00178602
-0.024971937,-0.00179639
-0.024970937,-0.00180677
-0.024969937,-0.00181715
-0.024968937,-0.00182753
-0.024967937,-0.00183791
-0.024966937,-0.00184828
-0.024965937,-0.00185866
-0.024964937,-0.00186644
-0.024963937,-0.00187682
-0.024962937,-0.00188461
-0.024961937,-0.00188979
-0.024960937,-0.00189498
-0.024959937,-0.00190017
-0.024958937,-0.00190277
-0.024957937,-0.00190277
-0.024956937,-0.00190277
-0.024955937,-0.00190017
-0.024954937,-0.00189498
-0.024953937,-0.00188979
-0.024952937,-0.00187942
-0.024951937,-0.00187163
-0.024950937,-0.00185866
-0.024949937,-0.00184309
-0.024948937,-0.00182753
-0.024947937,-0.00181196
-0.024946937,-0.0017938
-0.024945937,-0.00177564
-0.024944937,-0.00175748
-0.024943937,-0.00173672
-0.024942937,-0.00171856
-0.024941937,-0.0016978
-0.024940937,-0.00167964
-0.024939937,-0.00166148
-0.024938937,-0.00164332
-0.024937937,-0.00162516
-0.024936937,-0.001607
-0.024935937,-0.00159143
-0.024934937,-0.00157586
-0.024933937,-0.0015603
-0.024932937,-0.00154732
-0.024931937,-0.00153695
-0.024930937,-0.00152397
-0.024929937,-0.00151619
-0.024928937,-0.00150841
-0.024927937,-0.00150062
-0.024926937,-0.00149543
-0.024925937,-0.00149284
-0.024924937,-0.00149024
-0.024923937,-0.00149024
-0.024922937,-0.00149024
-0.024921937,-0.00149024
-0.024920937,-0.00149543
-0.024919937,-0.00149803
-0.024918937,-0.00150322
-0.024917937,-0.001511
-0.024916937,-0.00151619
-0.024915937,-0.00152397
-0.024914937,-0.00152916
-0.024913937,-0.00153695
-0.024912937,-0.00154213
-0.024911937,-0.00154992
-0.024910937,-0.00155251
-0.024909937,-0.0015577
-0.024908937,-0.00156289
-0.024907937,-0.00156808
-0.024906937,-0.00157327
-0.024905937,-0.00157586
-0.024904937,-0.00157846
-0.024903937,-0.00158105
-0.024902937,-0.00158365
-0.024901937,-0.00158624
-0.024900937,-0.00158624
-0.024899937,-0.00158624
-0.024898937,-0.00158624
-0.024897937,-0.00158884
-0.024896937,-0.00158884
-0.024895937,-0.00158884
-0.024894937,-0.00158884
-0.024893937,-0.00159143
-0.024892937,-0.00159143
-0.024891937,-0.00159143
-0.024890937,-0.00159143
-0.024889937,-0.00158884
-0.024888937,-0.00158884
-0.024887937,-0.00158624
-0.024886937,-0.00158105
-0.024885937,-0.00157846
-0.024884937,-0.00157327
-0.024883937,-0.00156808
-0.024882937,-0.00156289
-0.024881937,-0.0015577
-0.024880937,-0.00155251
-0.024879937,-0.00154473
-0.024878937,-0.00153695
-0.024877937,-0.00153176
-0.024876937,-0.00152397
-0.024875937,-0.00151619
-0.024874937,-0.00150581
-0.024873937,-0.00149803
-0.024872937,-0.00149024
-0.024871937,-0.00148506
-0.024870937,-0.00147727
-0.024869937,-0.00147208
-0.024868937,-0.00146689
-0.024867937,-0.00146171
-0.024866937,-0.00145652
-0.024865937,-0.00145392
-0.024864937,-0.00144873
-0.024863937,-0.00144614
-0.024862937,-0.00144354
-0.024861937,-0.00144095
-0.024860937,-0.00143836
-0.024859937,-0.00143836
-0.024858937,-0.00143576
-0.024857937,-0.00143576
-0.024856937,-0.00143836
-0.024855937,-0.00143836
-0.024854937,-0.00143836
-0.024853937,-0.00144095
-0.024852937,-0.00144354
-0.024851937,-0.00144614
-0.024850937,-0.00144873
-0.024849937,-0.00145133
-0.024848937,-0.00145652
-0.024847937,-0.0014643
-0.024846937,-0.00146949
-0.024845937,-0.00147727
-0.024844937,-0.00148506
-0.024843937,-0.00149543
-0.024842937,-0.00150581
-0.024841937,-0.00151619
-0.024840937,-0.00152657
-0.024839937,-0.00153695
-0.024838937,-0.00154473
-0.024837937,-0.00155511
-0.024836937,-0.00156289
-0.024835937,-0.00157067
-0.024834937,-0.00157846
-0.024833937,-0.00158365
-0.024832937,-0.00158624
-0.024831937,-0.00158884
-0.024830937,-0.00158884
-0.024829937,-0.00158624
-0.024828937,-0.00158105
-0.024827937,-0.00157586
-0.024826937,-0.00156548
-0.024825937,-0.00155511
-0.024824937,-0.00154473
-0.024823937,-0.00153176
-0.024822937,-0.00151619
-0.024821937,-0.00150062
-0.024820937,-0.00148506
-0.024819937,-0.00146689
-0.024818937,-0.00144614
-0.024817937,-0.00142798
-0.024816937,-0.00140722
-0.024815937,-0.00138647
-0.024814937,-0.0013683
-0.024813937,-0.00134755
-0.024812937,-0.00132939
-0.024811937,-0.00131123
-0.024810937,-0.00129306
-0.024809937,-0.0012775
-0.024808937,-0.00126452
-0.024807937,-0.00125155
-0.024806937,-0.00123858
-0.024805937,-0.0012308
-0.024804937,-0.00122301
-0.024803937,-0.00121782
-0.024802937,-0.00121523
-0.024801937,-0.00121523
-0.024800937,-0.00121523
-0.024799937,-0.00122042
-0.024798937,-0.0012282
-0.024797937,-0.00123858
-0.024796937,-0.00124896
-0.024795937,-0.00126452
-0.024794937,-0.00128269
-0.024793937,-0.00130085
-0.024792937,-0.00131901
-0.024791937,-0.00133976
-0.024790937,-0.00136052
-0.024789937,-0.00138387
-0.024788937,-0.00140463
-0.024787937,-0.00142798
-0.024786937,-0.00145133
-0.024785937,-0.00147468
-0.024784937,-0.00149803
-0.024783937,-0.00151878
-0.024782937,-0.00153954
-0.024781937,-0.0015577
-0.024780937,-0.00157327
-0.024779937,-0.00158624
-0.024778937,-0.00159921
-0.024777937,-0.00161219
-0.024776937,-0.00161997
-0.024775937,-0.00162775
-0.024774937,-0.00163554
-0.024773937,-0.00163813
-0.024772937,-0.00164332
-0.024771937,-0.00164591
-0.024770937,-0.00164851
-0.024769937,-0.0016511
-0.024768937,-0.0016537
-0.024767937,-0.00165629
-0.024766937,-0.00165889
-0.024765937,-0.00166407
-0.024764937,-0.00167186
-0.024763937,-0.00167705
-0.024762937,-0.00168743
-0.024761937,-0.0016978
-0.024760937,-0.00170818
-0.024759937,-0.00171856
-0.024758937,-0.00173153
-0.024757937,-0.0017445
-0.024756937,-0.00175748
-0.024755937,-0.00176785
-0.024754937,-0.00178083
-0.024753937,-0.0017912
-0.024752937,-0.00179899
-0.024751937,-0.00180418
-0.024750937,-0.00180937
-0.024749937,-0.00180937
-0.024748937,-0.00180937
-0.024747937,-0.00180418
-0.024746937,-0.00179639
-0.024745937,-0.00178861
-0.024744937,-0.00177823
-0.024743937,-0.00176526
-0.024742937,-0.00174969
-0.024741937,-0.00173413
-0.024740937,-0.00171856
-0.024739937,-0.0017004
-0.024738937,-0.00168483
-0.024737937,-0.00166667
-0.024736937,-0.0016511
-0.024735937,-0.00163554
-0.024734937,-0.00161997
-0.024733937,-0.001607
-0.024732937,-0.00159662
-0.024731937,-0.00158624
-0.024730937,-0.00158105
-0.024729937,-0.00157846
-0.024728937,-0.00157846
-0.024727937,-0.00157846
-0.024726937,-0.00158365
-0.024725937,-0.00158884
-0.024724937,-0.00159662
-0.024723937,-0.0016044
-0.024722937,-0.00161478
-0.024721937,-0.00162516
-0.024720937,-0.00163813
-0.024719937,-0.0016511
-0.024718937,-0.00166407
-0.024717937,-0.00167705
-0.024716937,-0.00169002
-0.024715937,-0.00170299
-0.024714937,-0.00171596
-0.024713937,-0.00172634
-0.024712937,-0.00173672
-0.024711937,-0.0017445
-0.024710937,-0.00175229
-0.024709937,-0.00175748
-0.024708937,-0.00176007
-0.024707937,-0.00176526
-0.024706937,-0.00176785
-0.024705937,-0.00177304
-0.024704937,-0.00177823
-0.024703937,-0.00178342
-0.024702937,-0.00178861
-0.024701937,-0.00179639
-0.024700937,-0.00180677
-0.024699937,-0.00181455
-0.024698937,-0.00182753
-0.024697937,-0.0018405
-0.024696937,-0.00185607
-0.024695937,-0.00187423
-0.024694937,-0.00189498
-0.024693937,-0.00192352
-0.024692937,-0.00195466
-0.024691937,-0.00199617
-0.024690937,-0.00204806
-0.024689937,-0.00211292
-0.024688937,-0.00219594
-0.024687937,-0.00230491
-0.024686937,-0.00244501
-0.024685937,-0.00262403
-0.024684937,-0.00285235
-0.024683937,-0.00313255
-0.024682937,-0.00348021
-0.024681937,-0.00389533
-0.024680937,-0.00439087
-0.024679937,-0.00497204
-0.024678937,-0.00564401
-0.024677937,-0.00641716
-0.024676937,-0.00729669
-0.024675937,-0.00828
-0.024674937,-0.00937487
-0.024673937,-0.0105735
-0.024672937,-0.0118734
-0.024671937,-0.013264
-0.024670937,-0.0147377
-0.024669937,-0.0162788
-0.024668937,-0.0178692
-0.024667937,-0.0194959
-0.024666937,-0.0211305
-0.024665937,-0.0227598
-0.024664937,-0.0243528
-0.024663937,-0.0258887
-0.024662937,-0.0273468
-0.024661937,-0.0286986
-0.024660937,-0.0299283
