LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 13:01:29,0                 
Time,Ampl
-0.025000046,-0.00186904
-0.024999046,-0.00188979
-0.024998046,-0.00190536
-0.024997046,-0.00192093
-0.024996046,-0.0019339
-0.024995046,-0.00194168
-0.024994046,-0.00194947
-0.024993046,-0.00195466
-0.024992046,-0.00195466
-0.024991046,-0.00195466
-0.024990046,-0.00195206
-0.024989046,-0.00194947
-0.024988046,-0.00194428
-0.024987046,-0.00193909
-0.024986046,-0.0019339
-0.024985046,-0.00192871
-0.024984046,-0.00192093
-0.024983046,-0.00191574
-0.024982046,-0.00191315
-0.024981046,-0.00191055
-0.024980046,-0.00191055
-0.024979046,-0.00191055
-0.024978046,-0.00191315
-0.024977046,-0.00191574
-0.024976046,-0.00192093
-0.024975046,-0.00192612
-0.024974046,-0.00192871
-0.024973046,-0.0019339
-0.024972046,-0.00193909
-0.024971046,-0.00194168
-0.024970046,-0.00194428
-0.024969046,-0.00194687
-0.024968046,-0.00194687
-0.024967046,-0.00194687
-0.024966046,-0.00194687
-0.024965046,-0.00194428
-0.024964046,-0.00193909
-0.024963046,-0.0019339
-0.024962046,-0.00192612
-0.024961046,-0.00191833
-0.024960046,-0.00191055
-0.024959046,-0.00190017
-0.024958046,-0.00188979
-0.024957046,-0.00187942
-0.024956046,-0.00187163
-0.024955046,-0.00186385
-0.024954046,-0.00185607
-0.024953046,-0.00185088
-0.024952046,-0.00184828
-0.024951046,-0.00184309
-0.024950046,-0.00184309
-0.024949046,-0.0018405
-0.024948046,-0.00183791
-0.024947046,-0.00183791
-0.024946046,-0.00183791
-0.024945046,-0.0018405
-0.024944046,-0.0018405
-0.024943046,-0.00184309
-0.024942046,-0.00184309
-0.024941046,-0.00184569
-0.024940046,-0.00184569
-0.024939046,-0.00184569
-0.024938046,-0.00184569
-0.024937046,-0.0018405
-0.024936046,-0.00183531
-0.024935046,-0.00182753
-0.024934046,-0.00181974
-0.024933046,-0.00181196
-0.024932046,-0.00180158
-0.024931046,-0.0017912
-0.024930046,-0.00178083
-0.024929046,-0.00177045
-0.024928046,-0.00176007
-0.024927046,-0.00175229
-0.024926046,-0.0017445
-0.024925046,-0.00173672
-0.024924046,-0.00173153
-0.024923046,-0.00172634
-0.024922046,-0.00172634
-0.024921046,-0.00172634
-0.024920046,-0.00173153
-0.024919046,-0.00173931
-0.024918046,-0.00174969
-0.024917046,-0.00176267
-0.024916046,-0.00177823
-0.024915046,-0.00179639
-0.024914046,-0.00181715
-0.024913046,-0.00183791
-0.024912046,-0.00186126
-0.024911046,-0.00188201
-0.024910046,-0.00190536
-0.024909046,-0.00192612
-0.024908046,-0.00194687
-0.024907046,-0.00196763
-0.024906046,-0.00198579
-0.024905046,-0.00200395
-0.024904046,-0.00201692
-0.024903046,-0.0020299
-0.024902046,-0.00203768
-0.024901046,-0.00204546
-0.024900046,-0.00204806
-0.024899046,-0.00204806
-0.024898046,-0.00204806
-0.024897046,-0.00204546
-0.024896046,-0.00204287
-0.024895046,-0.00204546
-0.024894046,-0.00205325
-0.024893046,-0.00206622
-0.024892046,-0.00209476
-0.024891046,-0.00214146
-0.024890046,-0.00221151
-0.024889046,-0.00231529
-0.024888046,-0.00245799
-0.024887046,-0.00264998
-0.024886046,-0.00289905
-0.024885046,-0.00321298
-0.024884046,-0.00360215
-0.024883046,-0.00407175
-0.024882046,-0.00463216
-0.024881046,-0.00528856
-0.024880046,-0.00604615
-0.024879046,-0.00691011
-0.024878046,-0.00788304
-0.024877046,-0.00896494
-0.024876046,-0.0101532
-0.024875046,-0.0114401
-0.024874046,-0.0128203
-0.024873046,-0.014281
-0.024872046,-0.0158066
-0.024871046,-0.0173814
-0.024870046,-0.01899
-0.024869046,-0.0206064
-0.024868046,-0.0222098
-0.024867046,-0.0237794
-0.024866046,-0.025292
-0.024865046,-0.0267242
-0.024864046,-0.0280525
-0.024863046,-0.0292564
-0.024862046,-0.0303175
-0.024861046,-0.0312152
-0.024860046,-0.0319391
-0.024859046,-0.0324709
-0.024858046,-0.0328056
-0.024857046,-0.0329405
-0.024856046,-0.0328705
-0.024855046,-0.0326033
-0.024854046,-0.0321414
-0.024853046,-0.0315006
-0.024852046,-0.0306885
-0.024851046,-0.0297234
-0.024850046,-0.0286233
-0.024849046,-0.0274091
-0.024848046,-0.0260989
-0.024847046,-0.0247134
-0.024846046,-0.0232761
-0.024845046,-0.021805
-0.024844046,-0.020321
-0.024843046,-0.0188421
-0.024842046,-0.0173892
-0.024841046,-0.0159752
-0.024840046,-0.0146157
-0.024839046,-0.0133237
-0.024838046,-0.0121017
-0.024837046,-0.0109627
-0.024836046,-0.00990415
-0.024835046,-0.00893381
-0.024834046,-0.0080465
-0.024833046,-0.00724221
-0.024832046,-0.00652094
-0.024831046,-0.00587751
-0.024830046,-0.00530673
-0.024829046,-0.0048034
-0.024828046,-0.00436233
-0.024827046,-0.00397835
-0.024826046,-0.00364626
-0.024825046,-0.00335827
-0.024824046,-0.0031118
-0.024823046,-0.00289905
-0.024822046,-0.00271743
-0.024821046,-0.00256436
-0.024820046,-0.00243464
-0.024819046,-0.00232567
-0.024818046,-0.00223486
-0.024817046,-0.00215962
-0.024816046,-0.00209735
-0.024815046,-0.00204806
-0.024814046,-0.00200914
-0.024813046,-0.00197801
-0.024812046,-0.00195466
-0.024811046,-0.0019365
-0.024810046,-0.00192612
-0.024809046,-0.00191833
-0.024808046,-0.00191574
-0.024807046,-0.00191574
-0.024806046,-0.00191833
-0.024805046,-0.00192352
-0.024804046,-0.00193131
-0.024803046,-0.0019365
-0.024802046,-0.00194428
-0.024801046,-0.00194947
-0.024800046,-0.00195466
-0.024799046,-0.00195725
-0.024798046,-0.00195985
-0.024797046,-0.00195985
-0.024796046,-0.00195985
-0.024795046,-0.00195466
-0.024794046,-0.00194947
-0.024793046,-0.00194168
-0.024792046,-0.0019339
-0.024791046,-0.00192352
-0.024790046,-0.00191055
-0.024789046,-0.00189498
-0.024788046,-0.00187942
-0.024787046,-0.00186385
-0.024786046,-0.00184309
-0.024785046,-0.00182493
-0.024784046,-0.00180418
-0.024783046,-0.00178342
-0.024782046,-0.00176007
-0.024781046,-0.00173931
-0.024780046,-0.00172115
-0.024779046,-0.00170299
