LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 10:39:08,0                 
Time,Ampl
-0.025000922,-0.0113986
-0.024999922,-0.0108693
-0.024998922,-0.0103582
-0.024997922,-0.00986523
-0.024996922,-0.00939044
-0.024995922,-0.0089364
-0.024994922,-0.00850313
-0.024993922,-0.0080906
-0.024992922,-0.00769884
-0.024991922,-0.00733042
-0.024990922,-0.00698017
-0.024989922,-0.00665067
-0.024988922,-0.00633933
-0.024987922,-0.00604356
-0.024986922,-0.00576595
-0.024985922,-0.0055065
-0.024984922,-0.00526003
-0.024983922,-0.00502652
-0.024982922,-0.00481118
-0.024981922,-0.00460622
-0.024980922,-0.00441682
-0.024979922,-0.0042378
-0.024978922,-0.00407175
-0.024977922,-0.00391608
-0.024976922,-0.00377079
-0.024975922,-0.00363329
-0.024974922,-0.00350875
-0.024973922,-0.0033894
-0.024972922,-0.00327784
-0.024971922,-0.00317666
-0.024970922,-0.00308066
-0.024969922,-0.00299245
-0.024968922,-0.00290943
-0.024967922,-0.00283419
-0.024966922,-0.00276413
-0.024965922,-0.00270187
-0.024964922,-0.00264479
-0.024963922,-0.0025929
-0.024962922,-0.0025462
-0.024961922,-0.00250469
-0.024960922,-0.00246836
-0.024959922,-0.00243464
-0.024958922,-0.00240869
-0.024957922,-0.00238275
-0.024956922,-0.00236199
-0.024955922,-0.00234383
-0.024954922,-0.00232826
-0.024953922,-0.00231529
-0.024952922,-0.00230491
-0.024951922,-0.00229713
-0.024950922,-0.00229194
-0.024949922,-0.00228416
-0.024948922,-0.00228156
-0.024947922,-0.00227637
-0.024946922,-0.00227118
-0.024945922,-0.00226599
-0.024944922,-0.00226081
-0.024943922,-0.00225562
-0.024942922,-0.00225043
-0.024941922,-0.00224524
-0.024940922,-0.00223746
-0.024939922,-0.00222967
-0.024938922,-0.00222189
-0.024937922,-0.00221151
-0.024936922,-0.00220373
-0.024935922,-0.00219335
-0.024934922,-0.00218297
-0.024933922,-0.00217259
-0.024932922,-0.00216222
-0.024931922,-0.00215184
-0.024930922,-0.00213886
-0.024929922,-0.00213108
-0.024928922,-0.0021207
-0.024927922,-0.00211033
-0.024926922,-0.00209995
-0.024925922,-0.00208957
-0.024924922,-0.00207919
-0.024923922,-0.00207141
-0.024922922,-0.00205844
-0.024921922,-0.00204806
-0.024920922,-0.00203768
-0.024919922,-0.0020273
-0.024918922,-0.00201692
-0.024917922,-0.00200655
-0.024916922,-0.00199357
-0.024915922,-0.0019832
-0.024914922,-0.00197022
-0.024913922,-0.00195466
-0.024912922,-0.00194168
-0.024911922,-0.00192612
-0.024910922,-0.00191315
-0.024909922,-0.00189498
-0.024908922,-0.00187942
-0.024907922,-0.00186385
-0.024906922,-0.00184569
-0.024905922,-0.00183012
-0.024904922,-0.00181196
-0.024903922,-0.00179639
-0.024902922,-0.00178342
-0.024901922,-0.00176785
-0.024900922,-0.00175488
-0.024899922,-0.0017445
-0.024898922,-0.00173413
-0.024897922,-0.00172634
-0.024896922,-0.00172375
-0.024895922,-0.00172115
-0.024894922,-0.00172115
-0.024893922,-0.00172634
-0.024892922,-0.00173413
-0.024891922,-0.0017445
-0.024890922,-0.00176007
-0.024889922,-0.00177823
-0.024888922,-0.00179899
-0.024887922,-0.00181974
-0.024886922,-0.00184569
-0.024885922,-0.00187163
-0.024884922,-0.00189758
-0.024883922,-0.00192612
-0.024882922,-0.00195466
-0.024881922,-0.0019832
-0.024880922,-0.00201174
-0.024879922,-0.00204027
-0.024878922,-0.00206622
-0.024877922,-0.00209476
-0.024876922,-0.00211811
-0.024875922,-0.00214146
-0.024874922,-0.00216222
-0.024873922,-0.00218038
-0.024872922,-0.00219854
-0.024871922,-0.0022141
-0.024870922,-0.00222708
-0.024869922,-0.00224005
-0.024868922,-0.00225043
-0.024867922,-0.00225821
-0.024866922,-0.00226599
-0.024865922,-0.00227378
-0.024864922,-0.00227897
-0.024863922,-0.00228156
-0.024862922,-0.00228675
-0.024861922,-0.00228934
-0.024860922,-0.00229194
-0.024859922,-0.00229453
-0.024858922,-0.00229453
-0.024857922,-0.00229453
-0.024856922,-0.00229713
-0.024855922,-0.00229713
-0.024854922,-0.00229713
-0.024853922,-0.00229713
-0.024852922,-0.00229972
-0.024851922,-0.00229972
-0.024850922,-0.00229972
-0.024849922,-0.00230232
-0.024848922,-0.00230232
-0.024847922,-0.00230232
