LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:13:27,0                 
Time,Ampl
-0.025000897,-0.00398873
-0.024999897,-0.00413143
-0.024998897,-0.00426374
-0.024997897,-0.00438309
-0.024996897,-0.00448946
-0.024995897,-0.00457768
-0.024994897,-0.00464773
-0.024993897,-0.00469962
-0.024992897,-0.00472556
-0.024991897,-0.00473335
-0.024990897,-0.00471778
-0.024989897,-0.00468146
-0.024988897,-0.00462438
-0.024987897,-0.00454914
-0.024986897,-0.00445833
-0.024985897,-0.00435196
-0.024984897,-0.00423261
-0.024983897,-0.00410548
-0.024982897,-0.00396797
-0.024981897,-0.00382268
-0.024980897,-0.0036748
-0.024979897,-0.00352432
-0.024978897,-0.00337384
-0.024977897,-0.00322595
-0.024976897,-0.00308066
-0.024975897,-0.00293796
-0.024974897,-0.00280565
-0.024973897,-0.00267852
-0.024972897,-0.00256177
-0.024971897,-0.0024528
-0.024970897,-0.00235421
-0.024969897,-0.00226599
-0.024968897,-0.00218557
-0.024967897,-0.00211811
-0.024966897,-0.00205844
-0.024965897,-0.00201174
-0.024964897,-0.00197282
-0.024963897,-0.00194428
-0.024962897,-0.00192612
-0.024961897,-0.00191833
-0.024960897,-0.00192093
-0.024959897,-0.00193131
-0.024958897,-0.00195206
-0.024957897,-0.0019806
-0.024956897,-0.00201692
-0.024955897,-0.00206103
-0.024954897,-0.00211033
-0.024953897,-0.00216481
-0.024952897,-0.00222189
-0.024951897,-0.00228416
-0.024950897,-0.00234902
-0.024949897,-0.00241647
-0.024948897,-0.00248393
-0.024947897,-0.00254879
-0.024946897,-0.00261365
-0.024945897,-0.00267592
-0.024944897,-0.0027356
-0.024943897,-0.00279008
-0.024942897,-0.00283937
-0.024941897,-0.00288089
-0.024940897,-0.00291721
-0.024939897,-0.00294575
-0.024938897,-0.0029691
-0.024937897,-0.00298467
-0.024936897,-0.00299245
-0.024935897,-0.00299245
-0.024934897,-0.00298726
-0.024933897,-0.00297688
-0.024932897,-0.00296132
-0.024931897,-0.00294315
-0.024930897,-0.0029224
-0.024929897,-0.00290424
-0.024928897,-0.00289126
-0.024927897,-0.00288348
-0.024926897,-0.00288608
-0.024925897,-0.00290424
-0.024924897,-0.00294056
-0.024923897,-0.00300023
-0.024922897,-0.00308585
-0.024921897,-0.00320001
-0.024920897,-0.00335049
-0.024919897,-0.00353729
-0.024918897,-0.0037656
-0.024917897,-0.00403543
-0.024916897,-0.00434936
-0.024915897,-0.0047074
-0.024914897,-0.00511214
-0.024913897,-0.00555839
-0.024912897,-0.00604356
-0.024911897,-0.00656764
-0.024910897,-0.00712286
