LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:25:40,0                 
Time,Ampl
-0.02500074,-0.00183272
-0.02499974,-0.0017912
-0.02499874,-0.00175488
-0.02499774,-0.00172115
-0.02499674,-0.00168743
-0.02499574,-0.00165889
-0.02499474,-0.00163294
-0.02499374,-0.00160959
-0.02499274,-0.00158624
-0.02499174,-0.00156808
-0.02499074,-0.00154992
-0.02498974,-0.00153695
-0.02498874,-0.00152397
-0.02498774,-0.00151619
-0.02498674,-0.00150841
-0.02498574,-0.00150581
-0.02498474,-0.00150322
-0.02498374,-0.00150581
-0.02498274,-0.00150841
-0.02498174,-0.0015136
-0.02498074,-0.00152138
-0.02497974,-0.00152916
-0.02497874,-0.00153954
-0.02497774,-0.00154992
-0.02497674,-0.00156289
-0.02497574,-0.00157846
-0.02497474,-0.00159143
-0.02497374,-0.001607
-0.02497274,-0.00161997
-0.02497174,-0.00163294
-0.02497074,-0.00164591
-0.02496974,-0.00165889
-0.02496874,-0.00166667
-0.02496774,-0.00167445
-0.02496674,-0.00167964
-0.02496574,-0.00168483
-0.02496474,-0.00168743
-0.02496374,-0.00168743
-0.02496274,-0.00168483
-0.02496174,-0.00168224
-0.02496074,-0.00167705
-0.02495974,-0.00167186
-0.02495874,-0.00166407
-0.02495774,-0.00165889
-0.02495674,-0.0016537
-0.02495574,-0.0016511
-0.02495474,-0.0016537
-0.02495374,-0.00166407
-0.02495274,-0.00167964
-0.02495174,-0.00170559
-0.02495074,-0.00174191
-0.02494974,-0.0017912
-0.02494874,-0.00185347
-0.02494774,-0.00193131
-0.02494674,-0.00202471
-0.02494574,-0.00213368
-0.02494474,-0.00226081
-0.02494374,-0.0024035
-0.02494274,-0.00256436
-0.02494174,-0.00274078
-0.02494074,-0.00293278
-0.02493974,-0.00313515
-0.02493874,-0.00335049
-0.02493774,-0.00357361
-0.02493674,-0.00379933
-0.02493574,-0.00402765
-0.02493474,-0.00425337
-0.02493374,-0.0044713
-0.02493274,-0.00467886
-0.02493174,-0.00487345
-0.02493074,-0.00504987
-0.02492974,-0.00520554
-0.02492874,-0.00533786
-0.02492774,-0.00544423
-0.02492674,-0.00552466
-0.02492574,-0.00557396
-0.02492474,-0.00559471
-0.02492374,-0.00558174
-0.02492274,-0.00554023
-0.02492174,-0.00547018
-0.02492074,-0.00537159
-0.02491974,-0.00524705
-0.02491874,-0.00509917
-0.02491774,-0.00493312
-0.02491674,-0.00475151
-0.02491574,-0.00455433
-0.02491474,-0.00435196
-0.02491374,-0.0041444
-0.02491274,-0.00393425
-0.02491174,-0.00372669
-0.02491074,-0.00352951
-0.02490974,-0.00334011
-0.02490874,-0.00316368
-0.02490774,-0.00300283
-0.02490674,-0.00286272
-0.02490574,-0.00274078
-0.02490474,-0.00264219
