LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:19:23,0                 
Time,Ampl
-0.025000412,-0.00552466
-0.024999412,-0.0055065
-0.024998412,-0.00546239
-0.024997412,-0.00539234
-0.024996412,-0.00529894
-0.024995412,-0.00518738
-0.024994412,-0.00505506
-0.024993412,-0.00490718
-0.024992412,-0.00474632
-0.024991412,-0.00457508
-0.024990412,-0.00439866
-0.024989412,-0.00421445
-0.024988412,-0.00403024
-0.024987412,-0.00384603
-0.024986412,-0.00366701
-0.024985412,-0.00349059
-0.024984412,-0.00332454
-0.024983412,-0.00316887
-0.024982412,-0.00302618
-0.024981412,-0.00289905
-0.024980412,-0.00278749
-0.024979412,-0.00269408
-0.024978412,-0.00261884
-0.024977412,-0.00256177
-0.024976412,-0.00252544
-0.024975412,-0.00250728
-0.024974412,-0.00250988
-0.024973412,-0.00252804
-0.024972412,-0.00256695
-0.024971412,-0.00262403
-0.024970412,-0.00269927
-0.024969412,-0.00279008
-0.024968412,-0.00289386
-0.024967412,-0.0030132
-0.024966412,-0.00314552
-0.024965412,-0.00328303
-0.024964412,-0.00342832
-0.024963412,-0.0035788
-0.024962412,-0.00372669
-0.024961412,-0.00387457
-0.024960412,-0.00401727
-0.024959412,-0.00415218
-0.024958412,-0.00427672
-0.024957412,-0.00438828
-0.024956412,-0.00448687
-0.024955412,-0.00456989
-0.024954412,-0.00463216
-0.024953412,-0.00467886
-0.024952412,-0.00470221
-0.024951412,-0.00470481
-0.024950412,-0.00468924
-0.024949412,-0.00465032
-0.024948412,-0.00459324
-0.024947412,-0.004518
-0.024946412,-0.0044272
-0.024945412,-0.00432082
-0.024944412,-0.00420148
-0.024943412,-0.00407435
-0.024942412,-0.00393943
-0.024941412,-0.00379674
-0.024940412,-0.00365145
-0.024939412,-0.00350356
-0.024938412,-0.00335568
-0.024937412,-0.00320779
-0.024936412,-0.00306509
-0.024935412,-0.00292499
-0.024934412,-0.00279008
-0.024933412,-0.00266295
-0.024932412,-0.0025436
-0.024931412,-0.00243204
-0.024930412,-0.00233086
-0.024929412,-0.00223486
-0.024928412,-0.00214924
-0.024927412,-0.00206881
-0.024926412,-0.00199617
-0.024925412,-0.00192871
-0.024924412,-0.00186904
-0.024923412,-0.00181455
-0.024922412,-0.00176267
-0.024921412,-0.00171856
-0.024920412,-0.00167964
-0.024919412,-0.00164332
-0.024918412,-0.00160959
-0.024917412,-0.00158365
-0.024916412,-0.0015577
-0.024915412,-0.00153695
-0.024914412,-0.00151619
-0.024913412,-0.00150062
-0.024912412,-0.00148765
-0.024911412,-0.00147727
-0.024910412,-0.00146949
-0.024909412,-0.0014643
-0.024908412,-0.00146171
-0.024907412,-0.00146171
-0.024906412,-0.00146171
-0.024905412,-0.00146689
-0.024904412,-0.00147208
-0.024903412,-0.00147727
-0.024902412,-0.00148506
-0.024901412,-0.00149284
-0.024900412,-0.00150062
-0.024899412,-0.00150841
-0.024898412,-0.00151619
-0.024897412,-0.00152397
-0.024896412,-0.00152916
-0.024895412,-0.00153435
-0.024894412,-0.00153695
-0.024893412,-0.00153954
-0.024892412,-0.00153954
-0.024891412,-0.00153954
-0.024890412,-0.00153954
-0.024889412,-0.00153695
-0.024888412,-0.00153435
-0.024887412,-0.00152916
-0.024886412,-0.00152657
-0.024885412,-0.00152397
-0.024884412,-0.00152397
-0.024883412,-0.00152657
-0.024882412,-0.00152916
-0.024881412,-0.00153695
-0.024880412,-0.00154732
-0.024879412,-0.00156289
-0.024878412,-0.00158105
