LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:21:57,0                 
Time,Ampl
-0.025001,0.388297
-0.025,0.38831
-0.024999,0.388336
-0.024998,0.388349
-0.024997,0.388362
-0.024996,0.388375
-0.024995,0.388388
-0.024994,0.388414
-0.024993,0.388427
-0.024992,0.38844
-0.024991,0.388466
-0.02499,0.388479
-0.024989,0.388505
-0.024988,0.388518
-0.024987,0.388544
-0.024986,0.388557
-0.024985,0.388582
-0.024984,0.388608
-0.024983,0.388621
-0.024982,0.388647
-0.024981,0.388673
-0.02498,0.388686
-0.024979,0.388712
-0.024978,0.388725
-0.024977,0.388751
-0.024976,0.388764
-0.024975,0.388777
-0.024974,0.388803
-0.024973,0.388816
-0.024972,0.388829
-0.024971,0.388842
-0.02497,0.388855
-0.024969,0.388868
-0.024968,0.388881
-0.024967,0.388894
-0.024966,0.388919
-0.024965,0.388932
-0.024964,0.388945
-0.024963,0.388958
-0.024962,0.388984
-0.024961,0.388997
-0.02496,0.38901
-0.024959,0.389036
-0.024958,0.389049
-0.024957,0.389075
-0.024956,0.389088
-0.024955,0.389114
-0.024954,0.389127
-0.024953,0.389153
-0.024952,0.389179
-0.024951,0.389192
-0.02495,0.389218
-0.024949,0.389243
-0.024948,0.389256
-0.024947,0.389282
-0.024946,0.389308
-0.024945,0.389321
-0.024944,0.389347
-0.024943,0.38936
-0.024942,0.389386
-0.024941,0.389412
-0.02494,0.389425
-0.024939,0.389451
-0.024938,0.389464
-0.024937,0.38949
-0.024936,0.389503
-0.024935,0.389516
-0.024934,0.389542
-0.024933,0.389555
-0.024932,0.389567
-0.024931,0.389593
-0.02493,0.389606
-0.024929,0.389619
-0.024928,0.389632
-0.024927,0.389645
-0.024926,0.389658
-0.024925,0.389684
-0.024924,0.389697
-0.024923,0.38971
-0.024922,0.389723
-0.024921,0.389736
-0.02492,0.389762
-0.024919,0.389775
-0.024918,0.389788
-0.024917,0.389814
-0.024916,0.389827
-0.024915,0.389853
-0.024914,0.389879
-0.024913,0.389892
-0.024912,0.389917
-0.024911,0.389943
-0.02491,0.389969
-0.024909,0.389995
-0.024908,0.390021
-0.024907,0.390047
-0.024906,0.390073
-0.024905,0.390112
-0.024904,0.390138
-0.024903,0.390164
-0.024902,0.39019
-0.024901,0.390216
-0.0249,0.390241
-0.024899,0.390267
-0.024898,0.390293
-0.024897,0.390319
-0.024896,0.390345
-0.024895,0.390371
-0.024894,0.390397
-0.024893,0.39041
-0.024892,0.390436
-0.024891,0.390462
-0.02489,0.390488
-0.024889,0.390514
-0.024888,0.390527
-0.024887,0.390553
-0.024886,0.390578
