LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 13:12:06,0                 
Time,Ampl
-0.025000904,-0.00117891
-0.024999904,-0.00117891
-0.024998904,-0.0011841
-0.024997904,-0.00119188
-0.024996904,-0.00120226
-0.024995904,-0.00121523
-0.024994904,-0.0012308
-0.024993904,-0.00124896
-0.024992904,-0.00126971
-0.024991904,-0.00128788
-0.024990904,-0.00130863
-0.024989904,-0.00132939
-0.024988904,-0.00135014
-0.024987904,-0.0013683
-0.024986904,-0.00138647
-0.024985904,-0.00140203
-0.024984904,-0.0014176
-0.024983904,-0.00143057
-0.024982904,-0.00144095
-0.024981904,-0.00144873
-0.024980904,-0.00145392
-0.024979904,-0.00145652
-0.024978904,-0.00145652
-0.024977904,-0.00145392
-0.024976904,-0.00144614
-0.024975904,-0.00143836
-0.024974904,-0.00142798
-0.024973904,-0.0014176
-0.024972904,-0.00140722
-0.024971904,-0.00139425
-0.024970904,-0.00138128
-0.024969904,-0.0013709
-0.024968904,-0.00135793
-0.024967904,-0.00134755
-0.024966904,-0.00133717
-0.024965904,-0.00132679
-0.024964904,-0.00131901
-0.024963904,-0.00131382
-0.024962904,-0.00131123
-0.024961904,-0.00131123
-0.024960904,-0.00131123
-0.024959904,-0.00131641
-0.024958904,-0.0013242
-0.024957904,-0.00133198
-0.024956904,-0.00134236
-0.024955904,-0.00135533
-0.024954904,-0.00136571
-0.024953904,-0.00137868
-0.024952904,-0.00139165
-0.024951904,-0.00140463
-0.024950904,-0.001415
-0.024949904,-0.00142538
-0.024948904,-0.00143576
-0.024947904,-0.00144614
-0.024946904,-0.00145392
-0.024945904,-0.00145911
-0.024944904,-0.00146171
-0.024943904,-0.0014643
-0.024942904,-0.0014643
-0.024941904,-0.00146171
-0.024940904,-0.00145911
-0.024939904,-0.00145392
-0.024938904,-0.00144873
-0.024937904,-0.00144354
-0.024936904,-0.00143576
-0.024935904,-0.00142798
-0.024934904,-0.00142279
-0.024933904,-0.0014176
-0.024932904,-0.00141241
-0.024931904,-0.00140722
-0.024930904,-0.00140463
-0.024929904,-0.00139944
-0.024928904,-0.00139684
-0.024927904,-0.00139425
-0.024926904,-0.00139165
-0.024925904,-0.00139165
-0.024924904,-0.00139165
-0.024923904,-0.00139165
-0.024922904,-0.00139165
-0.024921904,-0.00139425
-0.024920904,-0.00139684
-0.024919904,-0.00139944
-0.024918904,-0.00140203
-0.024917904,-0.00140463
-0.024916904,-0.00140463
-0.024915904,-0.00140722
-0.024914904,-0.00140982
-0.024913904,-0.00140982
-0.024912904,-0.00141241
-0.024911904,-0.001415
-0.024910904,-0.001415
-0.024909904,-0.0014176
-0.024908904,-0.0014176
-0.024907904,-0.0014176
-0.024906904,-0.0014176
-0.024905904,-0.00142019
-0.024904904,-0.00142019
-0.024903904,-0.00142019
-0.024902904,-0.00142019
-0.024901904,-0.00142279
-0.024900904,-0.00142538
-0.024899904,-0.00142798
-0.024898904,-0.00143317
-0.024897904,-0.00143576
-0.024896904,-0.00144354
-0.024895904,-0.00144873
-0.024894904,-0.00145652
-0.024893904,-0.00146689
-0.024892904,-0.00147468
-0.024891904,-0.00148506
-0.024890904,-0.00149543
-0.024889904,-0.00150841
-0.024888904,-0.00151878
-0.024887904,-0.00153176
-0.024886904,-0.00154213
-0.024885904,-0.00155511
-0.024884904,-0.00156548
-0.024883904,-0.00157327
-0.024882904,-0.00158365
-0.024881904,-0.00159143
-0.024880904,-0.00159662
-0.024879904,-0.00160181
-0.024878904,-0.0016044
-0.024877904,-0.001607
-0.024876904,-0.001607
-0.024875904,-0.0016044
-0.024874904,-0.00160181
-0.024873904,-0.00159662
