LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 13:16:10,0                 
Time,Ampl
-0.025000139,-0.00110367
-0.024999139,-0.00110626
-0.024998139,-0.00111145
-0.024997139,-0.00111923
-0.024996139,-0.00112961
-0.024995139,-0.00113999
-0.024994139,-0.00115556
-0.024993139,-0.00117112
-0.024992139,-0.00118669
-0.024991139,-0.00120745
-0.024990139,-0.0012282
-0.024989139,-0.00124896
-0.024988139,-0.00126971
-0.024987139,-0.00129306
-0.024986139,-0.00131382
-0.024985139,-0.00133717
-0.024984139,-0.00135793
-0.024983139,-0.00137868
-0.024982139,-0.00139684
-0.024981139,-0.00141241
-0.024980139,-0.00142798
-0.024979139,-0.00143836
-0.024978139,-0.00144614
-0.024977139,-0.00145133
-0.024976139,-0.00145392
-0.024975139,-0.00145392
-0.024974139,-0.00145392
-0.024973139,-0.00145133
-0.024972139,-0.00144614
-0.024971139,-0.00144095
-0.024970139,-0.00143576
-0.024969139,-0.00142798
-0.024968139,-0.00142019
-0.024967139,-0.00141241
-0.024966139,-0.00140463
-0.024965139,-0.00139425
-0.024964139,-0.00138647
-0.024963139,-0.00137868
-0.024962139,-0.00137349
-0.024961139,-0.00136571
-0.024960139,-0.00136312
-0.024959139,-0.00135793
-0.024958139,-0.00135793
-0.024957139,-0.00135533
-0.024956139,-0.00135533
-0.024955139,-0.00135533
-0.024954139,-0.00135793
-0.024953139,-0.00135793
-0.024952139,-0.00136052
-0.024951139,-0.00136571
-0.024950139,-0.0013709
-0.024949139,-0.00137609
-0.024948139,-0.00138387
-0.024947139,-0.00139165
-0.024946139,-0.00140463
-0.024945139,-0.001415
-0.024944139,-0.00142798
-0.024943139,-0.00144095
-0.024942139,-0.00145652
-0.024941139,-0.00147208
-0.024940139,-0.00149024
-0.024939139,-0.00150841
-0.024938139,-0.00152657
-0.024937139,-0.00154473
-0.024936139,-0.00156548
-0.024935139,-0.00158884
-0.024934139,-0.00160959
-0.024933139,-0.00163294
-0.024932139,-0.0016537
-0.024931139,-0.00167705
-0.024930139,-0.0016978
-0.024929139,-0.00171856
-0.024928139,-0.00173672
-0.024927139,-0.00175229
-0.024926139,-0.00177045
-0.024925139,-0.00178342
-0.024924139,-0.00179639
-0.024923139,-0.00180937
-0.024922139,-0.00181974
-0.024921139,-0.00182753
-0.024920139,-0.00183272
-0.024919139,-0.00183791
-0.024918139,-0.0018405
-0.024917139,-0.0018405
-0.024916139,-0.00183791
-0.024915139,-0.00183272
-0.024914139,-0.00182753
-0.024913139,-0.00182234
-0.024912139,-0.00181455
-0.024911139,-0.00180418
-0.024910139,-0.0017938
-0.024909139,-0.00178342
-0.024908139,-0.00177304
-0.024907139,-0.00176267
-0.024906139,-0.00174969
-0.024905139,-0.00173931
-0.024904139,-0.00172894
-0.024903139,-0.00171856
-0.024902139,-0.00170818
-0.024901139,-0.0016978
-0.024900139,-0.00169261
-0.024899139,-0.00168743
-0.024898139,-0.00168483
-0.024897139,-0.00168483
-0.024896139,-0.00168743
-0.024895139,-0.00169261
-0.024894139,-0.0016978
-0.024893139,-0.00170559
-0.024892139,-0.00171596
-0.024891139,-0.00172634
-0.024890139,-0.00173672
-0.024889139,-0.0017471
-0.024888139,-0.00176007
-0.024887139,-0.00177304
-0.024886139,-0.00178602
-0.024885139,-0.00179639
-0.024884139,-0.00180937
-0.024883139,-0.00181974
-0.024882139,-0.00183012
-0.024881139,-0.0018405
-0.024880139,-0.00184569
-0.024879139,-0.00185088
-0.024878139,-0.00185607
-0.024877139,-0.00185866
-0.024876139,-0.00185866
-0.024875139,-0.00186126
-0.024874139,-0.00185866
-0.024873139,-0.00185866
-0.024872139,-0.00185866
-0.024871139,-0.00185607
-0.024870139,-0.00185347
-0.024869139,-0.00185088
-0.024868139,-0.00184828
-0.024867139,-0.00184309
-0.024866139,-0.0018405
-0.024865139,-0.00183531
-0.024864139,-0.00182753
-0.024863139,-0.00181974
-0.024862139,-0.00181196
-0.024861139,-0.00180158
-0.024860139,-0.0017912
-0.024859139,-0.00178083
-0.024858139,-0.00177045
-0.024857139,-0.00175748
-0.024856139,-0.0017445
-0.024855139,-0.00173153
-0.024854139,-0.00171856
-0.024853139,-0.00170299
-0.024852139,-0.00169002
-0.024851139,-0.00167445
-0.024850139,-0.00166148
