LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:12:44,0                 
Time,Ampl
-0.025000893,-0.00180158
-0.024999893,-0.00179899
-0.024998893,-0.00179639
-0.024997893,-0.0017912
-0.024996893,-0.00178861
-0.024995893,-0.00178602
-0.024994893,-0.00178083
-0.024993893,-0.00177823
-0.024992893,-0.00177564
-0.024991893,-0.00177304
-0.024990893,-0.00176785
-0.024989893,-0.00176267
-0.024988893,-0.00176007
-0.024987893,-0.00175488
-0.024986893,-0.0017471
-0.024985893,-0.00173931
-0.024984893,-0.00173153
-0.024983893,-0.00172375
-0.024982893,-0.00171337
-0.024981893,-0.00170559
-0.024980893,-0.0016978
-0.024979893,-0.00169002
-0.024978893,-0.00168224
-0.024977893,-0.00167445
-0.024976893,-0.00166926
-0.024975893,-0.00166407
-0.024974893,-0.00165889
-0.024973893,-0.00165629
-0.024972893,-0.0016537
-0.024971893,-0.0016511
-0.024970893,-0.0016511
-0.024969893,-0.0016511
-0.024968893,-0.00165629
-0.024967893,-0.00165889
-0.024966893,-0.00166407
-0.024965893,-0.00166926
-0.024964893,-0.00167705
-0.024963893,-0.00168224
-0.024962893,-0.00169002
-0.024961893,-0.0016978
-0.024960893,-0.00170559
-0.024959893,-0.00171596
-0.024958893,-0.00172375
-0.024957893,-0.00173413
-0.024956893,-0.0017445
-0.024955893,-0.00175229
-0.024954893,-0.00176267
-0.024953893,-0.00177045
-0.024952893,-0.00178083
-0.024951893,-0.00178861
-0.024950893,-0.00179639
-0.024949893,-0.00180418
-0.024948893,-0.00180937
-0.024947893,-0.00181455
-0.024946893,-0.00181974
-0.024945893,-0.00182234
-0.024944893,-0.00182493
-0.024943893,-0.00182753
-0.024942893,-0.00182753
-0.024941893,-0.00182753
-0.024940893,-0.00182493
-0.024939893,-0.00182234
-0.024938893,-0.00181974
-0.024937893,-0.00181455
-0.024936893,-0.00180677
-0.024935893,-0.00179899
-0.024934893,-0.0017912
-0.024933893,-0.00178342
-0.024932893,-0.00177304
-0.024931893,-0.00176267
-0.024930893,-0.00175229
-0.024929893,-0.00174191
-0.024928893,-0.00173153
-0.024927893,-0.00172115
-0.024926893,-0.00170818
-0.024925893,-0.00169521
-0.024924893,-0.00168224
-0.024923893,-0.00166926
-0.024922893,-0.00165629
-0.024921893,-0.00164591
-0.024920893,-0.00163294
-0.024919893,-0.00162256
-0.024918893,-0.00161478
-0.024917893,-0.0016044
-0.024916893,-0.00159662
