LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:19:57,0                 
Time,Ampl
-0.025000415,-0.0114271
-0.024999415,-0.0125298
-0.024998415,-0.0136843
-0.024997415,-0.0148752
-0.024996415,-0.016092
-0.024995415,-0.0173218
-0.024994415,-0.018549
-0.024993415,-0.019758
-0.024992415,-0.0209333
-0.024991415,-0.0220567
-0.024990415,-0.0231101
-0.024989415,-0.024083
-0.024988415,-0.0249547
-0.024987415,-0.0257175
-0.024986415,-0.0263583
-0.024985415,-0.0268643
-0.024984415,-0.0272275
-0.024983415,-0.027448
-0.024982415,-0.0275181
-0.024981415,-0.0274402
-0.024980415,-0.0272171
-0.024979415,-0.0268513
-0.024978415,-0.0263532
-0.024977415,-0.0257279
-0.024976415,-0.0249936
-0.024975415,-0.0241582
-0.024974415,-0.0232372
-0.024973415,-0.0222487
-0.024972415,-0.0212031
-0.024971415,-0.0201212
-0.024970415,-0.019016
-0.024969415,-0.0179003
-0.024968415,-0.0167899
-0.024967415,-0.0156924
-0.024966415,-0.0146209
-0.024965415,-0.0135883
-0.024964415,-0.0125946
-0.024963415,-0.0116554
-0.024962415,-0.0107681
-0.024961415,-0.00993787
-0.024960415,-0.00916731
-0.024959415,-0.00845902
-0.024958415,-0.0078104
-0.024957415,-0.00721886
-0.024956415,-0.0066818
-0.024955415,-0.00619663
-0.024954415,-0.00576076
-0.024953415,-0.00537159
-0.024952415,-0.00502133
-0.024951415,-0.0047074
-0.024950415,-0.00442979
-0.024949415,-0.00418072
-0.024948415,-0.0039576
-0.024947415,-0.00376042
-0.024946415,-0.00358399
-0.024945415,-0.00342832
-0.024944415,-0.00329081
-0.024943415,-0.00316628
-0.024942415,-0.00305731
-0.024941415,-0.00295872
-0.024940415,-0.00287051
-0.024939415,-0.00279008
-0.024938415,-0.00271743
-0.024937415,-0.00264998
-0.024936415,-0.0025903
-0.024935415,-0.00253841
-0.024934415,-0.00248653
-0.024933415,-0.00244242
-0.024932415,-0.00240091
-0.024931415,-0.0023594
-0.024930415,-0.00232307
-0.024929415,-0.00228675
-0.024928415,-0.00225302
-0.024927415,-0.0022167
-0.024926415,-0.00218297
-0.024925415,-0.00214665
-0.024924415,-0.00211292
-0.024923415,-0.00207919
-0.024922415,-0.00204806
-0.024921415,-0.00201433
-0.024920415,-0.00198579
-0.024919415,-0.00195725
-0.024918415,-0.00192871
-0.024917415,-0.00190536
-0.024916415,-0.00188201
-0.024915415,-0.00186126
-0.024914415,-0.0018405
-0.024913415,-0.00182493
-0.024912415,-0.00181196
-0.024911415,-0.00180158
-0.024910415,-0.00179639
-0.024909415,-0.0017912
-0.024908415,-0.00178861
-0.024907415,-0.0017912
-0.024906415,-0.0017938
-0.024905415,-0.00180158
-0.024904415,-0.00181196
-0.024903415,-0.00181974
-0.024902415,-0.00183272
-0.024901415,-0.00184569
-0.024900415,-0.00185866
-0.024899415,-0.00187163
-0.024898415,-0.00188461
-0.024897415,-0.00190017
-0.024896415,-0.00191574
-0.024895415,-0.00192871
-0.024894415,-0.00194428
-0.024893415,-0.00196244
-0.024892415,-0.00197801
-0.024891415,-0.00199617
-0.024890415,-0.00201174
-0.024889415,-0.0020299
-0.024888415,-0.00204806
-0.024887415,-0.00206362
-0.024886415,-0.00208179
-0.024885415,-0.00209995
-0.024884415,-0.00211811
-0.024883415,-0.00213886
-0.024882415,-0.00215703
-0.024881415,-0.00217778
-0.024880415,-0.00219594
-0.024879415,-0.0022167
-0.024878415,-0.00223486
-0.024877415,-0.00225302
-0.024876415,-0.00226859
-0.024875415,-0.00228416
-0.024874415,-0.00229713
-0.024873415,-0.0023127
-0.024872415,-0.00232307
-0.024871415,-0.00233345
-0.024870415,-0.00234383
-0.024869415,-0.00235161
-0.024868415,-0.0023568
-0.024867415,-0.00236199
-0.024866415,-0.00236458
-0.024865415,-0.00236718
-0.024864415,-0.00236458
-0.024863415,-0.00236199
-0.024862415,-0.0023594
-0.024861415,-0.00235421
-0.024860415,-0.00234642
-0.024859415,-0.00234123
-0.024858415,-0.00233086
-0.024857415,-0.00232307
-0.024856415,-0.00231529
-0.024855415,-0.00230491
-0.024854415,-0.00229453
-0.024853415,-0.00228416
-0.024852415,-0.00227378
-0.024851415,-0.00226081
-0.024850415,-0.00225043
-0.024849415,-0.00223746
-0.024848415,-0.00222448
-0.024847415,-0.00221151
-0.024846415,-0.00220113
-0.024845415,-0.00218816
-0.024844415,-0.00217519
-0.024843415,-0.00216481
-0.024842415,-0.00215443
-0.024841415,-0.00214146
-0.024840415,-0.00213368
-0.024839415,-0.0021233
-0.024838415,-0.00211551
-0.024837415,-0.00210773
-0.024836415,-0.00210254
-0.024835415,-0.00209995
-0.024834415,-0.00209476
-0.024833415,-0.00209476
-0.024832415,-0.00209216
-0.024831415,-0.00209216
-0.024830415,-0.00209216
-0.024829415,-0.00209216
-0.024828415,-0.00209216
-0.024827415,-0.00208957
-0.024826415,-0.00208698
-0.024825415,-0.00208438
-0.024824415,-0.00207919
-0.024823415,-0.00207141
-0.024822415,-0.00206362
-0.024821415,-0.00205065
-0.024820415,-0.00203768
-0.024819415,-0.00202211
-0.024818415,-0.00200395
-0.024817415,-0.0019832
-0.024816415,-0.00196244
-0.024815415,-0.00193909
-0.024814415,-0.00191315
-0.024813415,-0.0018872
-0.024812415,-0.00186126
-0.024811415,-0.00183272
-0.024810415,-0.00180418
-0.024809415,-0.00177823
-0.024808415,-0.00174969
-0.024807415,-0.00172375
-0.024806415,-0.0016978
-0.024805415,-0.00167445
-0.024804415,-0.0016511
-0.024803415,-0.00163035
-0.024802415,-0.00160959
-0.024801415,-0.00159402
-0.024800415,-0.00157586
-0.024799415,-0.00156289
-0.024798415,-0.00154992
-0.024797415,-0.00153954
-0.024796415,-0.00153176
-0.024795415,-0.00152657
-0.024794415,-0.00152138
-0.024793415,-0.00152138
-0.024792415,-0.00152138
-0.024791415,-0.00152397
-0.024790415,-0.00152916
-0.024789415,-0.00153695
-0.024788415,-0.00154473
-0.024787415,-0.00155251
-0.024786415,-0.00156289
-0.024785415,-0.00157067
-0.024784415,-0.00158105
-0.024783415,-0.00159143
-0.024782415,-0.00160181
-0.024781415,-0.00160959
-0.024780415,-0.00161997
-0.024779415,-0.00162775
-0.024778415,-0.00163554
-0.024777415,-0.00164332
-0.024776415,-0.0016511
-0.024775415,-0.00165629
-0.024774415,-0.00166148
-0.024773415,-0.00166407
-0.024772415,-0.00166667
-0.024771415,-0.00167186
-0.024770415,-0.00167186
-0.024769415,-0.00167705
-0.024768415,-0.00167964
-0.024767415,-0.00168224
-0.024766415,-0.00168743
-0.024765415,-0.00169521
-0.024764415,-0.00170299
-0.024763415,-0.00171078
-0.024762415,-0.00172115
-0.024761415,-0.00172894
-0.024760415,-0.00173672
-0.024759415,-0.0017445
-0.024758415,-0.00175488
-0.024757415,-0.00176267
-0.024756415,-0.00176785
-0.024755415,-0.00177564
-0.024754415,-0.00178083
-0.024753415,-0.00178602
-0.024752415,-0.00178861
-0.024751415,-0.0017912
-0.024750415,-0.0017912
-0.024749415,-0.00178861
-0.024748415,-0.00178342
-0.024747415,-0.00177564
-0.024746415,-0.00176785
-0.024745415,-0.00175488
-0.024744415,-0.00174191
-0.024743415,-0.00172634
-0.024742415,-0.00171078
-0.024741415,-0.00169521
-0.024740415,-0.00167964
-0.024739415,-0.00166407
-0.024738415,-0.00164851
-0.024737415,-0.00163294
-0.024736415,-0.00161997
-0.024735415,-0.001607
-0.024734415,-0.00159402
-0.024733415,-0.00158365
-0.024732415,-0.00157327
-0.024731415,-0.00156548
-0.024730415,-0.0015577
-0.024729415,-0.00155251
-0.024728415,-0.00154992
-0.024727415,-0.00154732
-0.024726415,-0.00154732
-0.024725415,-0.00154732
-0.024724415,-0.00154992
-0.024723415,-0.00154992
-0.024722415,-0.00155251
-0.024721415,-0.00155251
-0.024720415,-0.00155251
-0.024719415,-0.00155251
-0.024718415,-0.00154992
-0.024717415,-0.00154992
-0.024716415,-0.00154992
-0.024715415,-0.00154732
-0.024714415,-0.00154473
-0.024713415,-0.00154473
-0.024712415,-0.00154213
-0.024711415,-0.00153954
-0.024710415,-0.00153695
-0.024709415,-0.00153435
-0.024708415,-0.00153176
-0.024707415,-0.00152916
-0.024706415,-0.00152397
-0.024705415,-0.00152138
-0.024704415,-0.00151878
-0.024703415,-0.00151619
-0.024702415,-0.0015136
-0.024701415,-0.00150841
-0.024700415,-0.00150581
-0.024699415,-0.00150322
-0.024698415,-0.00150062
-0.024697415,-0.00149803
-0.024696415,-0.00149543
-0.024695415,-0.00149284
-0.024694415,-0.00149024
-0.024693415,-0.00148506
-0.024692415,-0.00148246
-0.024691415,-0.00147727
-0.024690415,-0.00147468
-0.024689415,-0.00146949
-0.024688415,-0.00146689
-0.024687415,-0.00146171
-0.024686415,-0.00145911
-0.024685415,-0.00145652
-0.024684415,-0.00145652
-0.024683415,-0.00145392
-0.024682415,-0.00145392
-0.024681415,-0.00145392
-0.024680415,-0.00145133
-0.024679415,-0.00145133
-0.024678415,-0.00145133
-0.024677415,-0.00145133
-0.024676415,-0.00145133
-0.024675415,-0.00145133
-0.024674415,-0.00145133
-0.024673415,-0.00145133
-0.024672415,-0.00145392
-0.024671415,-0.00145392
