LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:23:10,0                 
Time,Ampl
-0.025000135,-0.00177823
-0.024999135,-0.0017445
-0.024998135,-0.00171337
-0.024997135,-0.00169002
-0.024996135,-0.00167186
-0.024995135,-0.00165889
-0.024994135,-0.00164851
-0.024993135,-0.00164072
-0.024992135,-0.00163813
-0.024991135,-0.00163813
-0.024990135,-0.00163813
-0.024989135,-0.00164332
-0.024988135,-0.00164851
-0.024987135,-0.0016537
-0.024986135,-0.00165889
-0.024985135,-0.00166667
-0.024984135,-0.00167705
-0.024983135,-0.00168224
-0.024982135,-0.00168743
-0.024981135,-0.00169002
-0.024980135,-0.00169261
-0.024979135,-0.00169261
-0.024978135,-0.00168743
-0.024977135,-0.00168224
-0.024976135,-0.00167705
-0.024975135,-0.00167186
-0.024974135,-0.00166407
-0.024973135,-0.00165889
-0.024972135,-0.0016511
-0.024971135,-0.00164591
-0.024970135,-0.00164072
-0.024969135,-0.00163554
-0.024968135,-0.00163035
-0.024967135,-0.00162775
-0.024966135,-0.00162256
-0.024965135,-0.00161997
-0.024964135,-0.00161997
-0.024963135,-0.00161997
-0.024962135,-0.00162516
-0.024961135,-0.00163035
-0.024960135,-0.00163813
-0.024959135,-0.00164591
-0.024958135,-0.00165629
-0.024957135,-0.00166667
-0.024956135,-0.00167964
-0.024955135,-0.00169261
-0.024954135,-0.00170559
-0.024953135,-0.00171856
-0.024952135,-0.00173413
-0.024951135,-0.00174969
-0.024950135,-0.00176785
-0.024949135,-0.00178602
-0.024948135,-0.00180677
-0.024947135,-0.00182753
-0.024946135,-0.00184828
-0.024945135,-0.00187163
-0.024944135,-0.00189498
-0.024943135,-0.00191833
-0.024942135,-0.00194168
-0.024941135,-0.00196503
-0.024940135,-0.00198839
-0.024939135,-0.00201174
-0.024938135,-0.00203509
-0.024937135,-0.00205844
-0.024936135,-0.00208179
-0.024935135,-0.00210514
-0.024934135,-0.00212589
-0.024933135,-0.00214665
-0.024932135,-0.00216481
-0.024931135,-0.00217778
-0.024930135,-0.00219075
-0.024929135,-0.00219854
-0.024928135,-0.00220373
-0.024927135,-0.00220632
-0.024926135,-0.00220373
-0.024925135,-0.00219594
-0.024924135,-0.00218816
-0.024923135,-0.00217519
-0.024922135,-0.00216222
-0.024921135,-0.00214405
-0.024920135,-0.0021233
-0.024919135,-0.00210254
-0.024918135,-0.0020766
-0.024917135,-0.00205325
-0.024916135,-0.00202471
-0.024915135,-0.00199876
-0.024914135,-0.00197282
-0.024913135,-0.00194687
