LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:07:54,0                 
Time,Ampl
-0.025001,0.0817253
-0.025,0.0818808
-0.024999,0.0820429
-0.024998,0.0822049
-0.024997,0.0823669
-0.024996,0.0825289
-0.024995,0.0826909
-0.024994,0.0828529
-0.024993,0.0830214
-0.024992,0.0831834
-0.024991,0.0833454
-0.02499,0.0835139
-0.024989,0.0836824
-0.024988,0.0838444
-0.024987,0.0840129
-0.024986,0.0841749
-0.024985,0.0843434
-0.024984,0.0845054
-0.024983,0.0846675
-0.024982,0.0848359
-0.024981,0.084998
-0.02498,0.08516
-0.024979,0.0853285
-0.024978,0.0854905
-0.024977,0.085659
-0.024976,0.085821
-0.024975,0.0859895
-0.024974,0.0861515
-0.024973,0.08632
-0.024972,0.0864885
-0.024971,0.0866505
-0.02497,0.086819
-0.024969,0.0869875
-0.024968,0.087156
-0.024967,0.0873309
-0.024966,0.0874994
-0.024965,0.0876679
-0.024964,0.0878429
-0.024963,0.0880114
-0.024962,0.0881864
-0.024961,0.0883548
-0.02496,0.0885233
-0.024959,0.0886983
-0.024958,0.0888668
-0.024957,0.0890353
-0.024956,0.0892103
-0.024955,0.0893788
-0.024954,0.0895537
-0.024953,0.0897222
-0.024952,0.0898907
-0.024951,0.0900657
-0.02495,0.0902342
-0.024949,0.0904027
-0.024948,0.0905712
-0.024947,0.0907461
-0.024946,0.0909146
-0.024945,0.0910831
-0.024944,0.0912516
-0.024943,0.0914201
-0.024942,0.0915886
-0.024941,0.0917571
-0.02494,0.0919256
-0.024939,0.0920941
-0.024938,0.0922626
-0.024937,0.0924246
-0.024936,0.0925866
-0.024935,0.0927486
-0.024934,0.0929041
-0.024933,0.0930597
-0.024932,0.0932152
-0.024931,0.0933707
-0.02493,0.0935263
-0.024929,0.0936753
-0.024928,0.0938309
-0.024927,0.0939799
-0.024926,0.094129
-0.024925,0.094278
-0.024924,0.0944335
-0.024923,0.0945826
-0.024922,0.0947381
-0.024921,0.0948937
-0.02492,0.0950557
-0.024919,0.0952177
-0.024918,0.0953797
-0.024917,0.0955482
-0.024916,0.0957167
-0.024915,0.0958916
-0.024914,0.0960666
-0.024913,0.0962481
-0.024912,0.0964295
-0.024911,0.096611
-0.02491,0.0967989
-0.024909,0.0969868
-0.024908,0.0971748
-0.024907,0.0973627
-0.024906,0.0975506
-0.024905,0.0977386
-0.024904,0.0979265
-0.024903,0.0981144
-0.024902,0.0983024
-0.024901,0.0984838
-0.0249,0.0986653
-0.024899,0.0988467
-0.024898,0.0990282
-0.024897,0.0992096
-0.024896,0.0993846
-0.024895,0.0995596
-0.024894,0.0997346
-0.024893,0.0999031
-0.024892,0.100078
-0.024891,0.100247
-0.02489,0.100415
-0.024889,0.10059
-0.024888,0.100758
