LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:06:41,0                 
Time,Ampl
-0.025001,0.0467113
-0.025,0.0467994
-0.024999,0.0468876
-0.024998,0.0469731
-0.024997,0.0470612
-0.024996,0.0471494
-0.024995,0.0472349
-0.024994,0.047323
-0.024993,0.0474086
-0.024992,0.0474941
-0.024991,0.0475797
-0.02499,0.0476626
-0.024989,0.0477482
-0.024988,0.0478285
-0.024987,0.0479115
-0.024986,0.0479918
-0.024985,0.0480722
-0.024984,0.04815
-0.024983,0.0482303
-0.024982,0.0483081
-0.024981,0.0483858
-0.02498,0.0484636
-0.024979,0.0485414
-0.024978,0.0486191
-0.024977,0.0486969
-0.024976,0.0487747
-0.024975,0.0488524
-0.024974,0.0489302
-0.024973,0.0490106
-0.024972,0.0490883
-0.024971,0.0491687
-0.02497,0.0492516
-0.024969,0.049332
-0.024968,0.0494149
-0.024967,0.0494979
-0.024966,0.0495808
-0.024965,0.0496638
-0.024964,0.0497493
-0.024963,0.0498349
-0.024962,0.0499178
-0.024961,0.0500034
-0.02496,0.0500863
-0.024959,0.0501719
-0.024958,0.0502574
-0.024957,0.0503429
-0.024956,0.0504285
-0.024955,0.0505114
-0.024954,0.050597
-0.024953,0.0506825
-0.024952,0.0507681
-0.024951,0.0508536
-0.02495,0.0509392
-0.024949,0.0510247
-0.024948,0.0511128
-0.024947,0.0511984
-0.024946,0.0512865
-0.024945,0.0513746
-0.024944,0.0514654
-0.024943,0.0515561
-0.024942,0.0516494
-0.024941,0.0517401
-0.02494,0.0518361
-0.024939,0.0519294
-0.024938,0.0520253
-0.024937,0.0521212
-0.024936,0.0522171
-0.024935,0.0523156
-0.024934,0.0524115
-0.024933,0.0525126
-0.024932,0.0526111
-0.024931,0.0527096
-0.02493,0.0528107
-0.024929,0.0529118
-0.024928,0.0530129
-0.024927,0.0531114
-0.024926,0.0532125
-0.024925,0.0533136
-0.024924,0.0534147
-0.024923,0.0535132
-0.024922,0.0536117
-0.024921,0.0537102
-0.02492,0.0538087
-0.024919,0.0539072
-0.024918,0.0540031
-0.024917,0.054099
-0.024916,0.0541949
-0.024915,0.0542883
-0.024914,0.0543816
-0.024913,0.0544723
-0.024912,0.054563
-0.024911,0.0546512
-0.02491,0.0547393
-0.024909,0.0548248
-0.024908,0.054913
-0.024907,0.0549985
-0.024906,0.0550815
-0.024905,0.055167
-0.024904,0.0552526
-0.024903,0.0553381
-0.024902,0.0554236
-0.024901,0.0555092
-0.0249,0.0555973
-0.024899,0.055688
-0.024898,0.0557788
-0.024897,0.0558721
-0.024896,0.055968
-0.024895,0.0560665
-0.024894,0.0561676
-0.024893,0.0562713
-0.024892,0.0563776
-0.024891,0.0564864
-0.02489,0.0565953
-0.024889,0.0567094
-0.024888,0.0568234
-0.024887,0.0569375
-0.024886,0.0570515
-0.024885,0.0571682
-0.024884,0.0572848
-0.024883,0.0573989
-0.024882,0.0575155
-0.024881,0.0576296
-0.02488,0.0577437
-0.024879,0.0578551
-0.024878,0.0579666
-0.024877,0.0580729
-0.024876,0.0581817
-0.024875,0.0582854
-0.024874,0.0583891
-0.024873,0.0584902
