LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 11:40:13,0                 
Time,Ampl
-0.025000441,-0.00220113
-0.024999441,-0.00219594
-0.024998441,-0.00219335
-0.024997441,-0.00219075
-0.024996441,-0.00218816
-0.024995441,-0.00218557
-0.024994441,-0.00218557
-0.024993441,-0.00218557
-0.024992441,-0.00218557
-0.024991441,-0.00218816
-0.024990441,-0.00218816
-0.024989441,-0.00219335
-0.024988441,-0.00219594
-0.024987441,-0.00219854
-0.024986441,-0.00220373
-0.024985441,-0.00220632
-0.024984441,-0.00221151
-0.024983441,-0.0022167
-0.024982441,-0.00221929
-0.024981441,-0.00222448
-0.024980441,-0.00222708
-0.024979441,-0.00222967
-0.024978441,-0.00223227
-0.024977441,-0.00223486
-0.024976441,-0.00223486
-0.024975441,-0.00223746
-0.024974441,-0.00223746
-0.024973441,-0.00223746
-0.024972441,-0.00223746
-0.024971441,-0.00223486
-0.024970441,-0.00223486
-0.024969441,-0.00223746
-0.024968441,-0.00223746
-0.024967441,-0.00224264
-0.024966441,-0.00224783
-0.024965441,-0.00225562
-0.024964441,-0.00226859
-0.024963441,-0.00228675
-0.024962441,-0.00231529
-0.024961441,-0.00235421
-0.024960441,-0.00241129
-0.024959441,-0.00249171
-0.024958441,-0.00260328
-0.024957441,-0.00275635
-0.024956441,-0.00295613
-0.024955441,-0.00321039
-0.024954441,-0.00352951
-0.024953441,-0.00391868
-0.024952441,-0.00438828
-0.024951441,-0.0049409
-0.024950441,-0.00558952
-0.024949441,-0.00633673
-0.024948441,-0.00718772
-0.024947441,-0.00815028
-0.024946441,-0.00922439
-0.024945441,-0.0104075
-0.024944441,-0.0116969
-0.024943441,-0.013085
-0.024942441,-0.0145612
-0.024941441,-0.0161101
-0.024940441,-0.0177187
-0.024939441,-0.0193662
-0.024938441,-0.0210319
-0.024937441,-0.0226949
-0.024936441,-0.0243321
-0.024935441,-0.0259199
-0.024934441,-0.0274402
-0.024933441,-0.028862
-0.024932441,-0.0301696
-0.024931441,-0.0313397
-0.024930441,-0.0323542
-0.024929441,-0.0331922
-0.024928441,-0.0338408
-0.024927441,-0.0342897
-0.024926441,-0.0345335
-0.024925441,-0.0345673
-0.024924441,-0.0343934
-0.024923441,-0.0340147
-0.024922441,-0.0334465
-0.024921441,-0.0326967
-0.024920441,-0.0317834
-0.024919441,-0.0307223
-0.024918441,-0.029534
-0.024917441,-0.0282367
-0.024916441,-0.0268539
-0.024915441,-0.0254036
-0.024914441,-0.0239066
-0.024913441,-0.0223862
-0.024912441,-0.0208606
-0.024911441,-0.0193506
-0.024910441,-0.0178718
-0.024909441,-0.0164422
-0.024908441,-0.0150749
-0.024907441,-0.0137777
-0.024906441,-0.0125635
-0.024905441,-0.0114323
